avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
2,1,ARS,2.0,1.5,1.3357444998957546,4.25
7,4,NEW,9.5,5.0,0.17372313823860452,4.0
14,7,FUL,12.0,6.0,-0.19935414114067568,3.75
3,2,CHE,4.0,2.25,1.291512733023556,2.0
15,8,AVL,10.75,5.75,-0.28447765240196166,2.0
5,3,BOU,6.25,3.25,0.30384783547153105,1.5
17,9,LEI,17.0,8.75,-1.0263157525153528,0.75
8,4,NFO,8.0,4.25,0.15094531072706158,0.5
13,7,BHA,13.0,6.75,-0.183440653253272,0.25
1,1,LIV,3.25,2.0,1.4484270723847674,0.0
4,2,TOT,3.75,2.0,1.2755732471780883,0.0
16,8,WHU,14.0,7.0,-0.3597137573674432,-0.25
9,5,BRE,9.0,4.75,0.14191673377420508,-0.5
19,10,WOL,18.0,9.5,-1.1570353743648358,-0.75
6,3,MUN,9.0,4.75,0.26386809002458755,-1.5
10,5,EVE,7.75,4.25,-0.028611187283263326,-2.0
11,6,MCI,14.5,7.75,-0.05261038559814952,-2.0
20,10,SOU,19.5,9.75,-1.8624937232643952,-3.75
18,9,IPS,17.5,9.0,-1.0924029345424024,-4.0
12,6,CRY,11.25,5.75,-0.13910309898140466,-4.25
