id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw17Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
484,Ben,Davies,DEF,TOT,?,"Davies (DEF, ?)",10,4,12,1.8,1.7600000000000002,2.227105745132009,0.0,0.0,0.625,0.9375,1.4947825928876748,1.5,0.5,2.5,1.75,2.0615528128088303,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0,?
508,Guglielmo,Vicario,GKP,TOT,?,"Vicario (GKP, ?)",37,12,4,1.6,2.5599999999999996,3.2000000000000006,2.0,1.0,2.3125,1.8046875,2.3377005261581303,2.0,1.0,3.0833333333333335,1.7916666666666667,2.215789300051388,0,2.0,-1,1.8888888888888888,0,0.0,1.94444444444,1,0,0,0,?
489,Archie,Gray,MID,TOT,?,"Gray (MID, ?)",12,9,7,1.4,0.8800000000000001,1.019803902718557,1.0,1.0,0.75,0.65625,0.82915619758885,1.0,0.0,1.3333333333333333,0.5185185185185185,0.6666666666666666,0,1.0,0,0.0,1,1.1111111111111112,1.05555555556,1,0,0,0,?
482,Yves,Bissouma,MID,TOT,?,"Bissouma (MID, ?)",31,12,4,1.2,0.64,0.7483314773547883,1.0,1.0,1.9375,1.9140625,2.946793808531571,1.0,0.5,2.5833333333333335,2.3055555555555554,3.1479711279206835,0,1.0,0,0.0,1,1.1111111111111112,1.05555555556,1,0,0,0,?
481,Lucas,Bergvall,MID,TOT,?,"Bergvall (MID, ?)",11,10,6,1.2,0.31999999999999995,0.4,1.0,0.0,0.6875,0.515625,0.582961190818051,1.0,0.0,1.1,0.18000000000000008,0.3,0,1.0,0,0.0,1,1.0,1.0,1,0,0,0,?
699,Alfie,Dorrington,DEF,TOT,?,"Dorrington (DEF, ?)",1,1,15,1.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,0.24206145913796356,1.0,0.0,1.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0,?
609,Will,Lankshear,FWD,TOT,?,"Lankshear (FWD, ?)",2,2,14,0.4,0.48,0.48989794855663565,0.0,0.0,0.125,0.21875,0.33071891388307384,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
498,Cristian,Romero,DEF,TOT,?,"Romero (DEF, ?)",35,12,4,0.2,0.32,0.4,1.0,1.0,2.1875,1.953125,3.358175658002422,2.0,1.0,2.9166666666666665,2.361111111111111,3.5930101895516833,0,1.0,-1,0.8888888888888888,0,0.0,0.94444444444,1,0,0,0,?
506,Micky,van de Ven,DEF,TOT,?,"Van de Ven (DEF, ?)",28,9,7,0.2,0.32,0.4,1.0,1.0,1.75,2.09375,3.191786333700926,1.0,0.0,3.111111111111111,3.0617283950617282,3.725123247608936,0,1.0,-1,0.8888888888888888,0,0.0,0.94444444444,1,0,0,0,?
480,Rodrigo,Bentancur,MID,TOT,?,"Bentancur (MID, ?)",19,10,6,0.0,0.0,0.0,1.0,1.0,1.1875,1.15625,1.7399263633843818,1.0,0.5,1.9,1.2799999999999998,1.8681541692269403,0,1.0,0,0.0,1,1.1111111111111112,1.05555555556,1,0,0,0,?
497,Richarlison,de Andrade,FWD,TOT,?,"Richarlison (FWD, ?)",7,5,11,0.0,0.0,0.0,0.0,0.0,0.4375,0.65625,0.998044963916957,1.0,0.0,1.4,1.0399999999999998,1.3564659966250536,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
612,Wilson,Odobert,MID,TOT,?,"Odobert (MID, ?)",6,3,13,0.0,0.0,0.0,0.0,0.0,0.375,0.609375,0.8569568250501305,2.0,1.0,2.0,0.6666666666666666,0.816496580927726,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
610,Mikey,Moore,MID,TOT,?,"Moore (MID, ?)",5,4,12,0.0,0.0,0.0,0.0,0.0,0.3125,0.46875,0.582961190818051,1.0,0.0,1.25,0.375,0.4330127018922193,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
478,Ashley,Phillips,DEF,TOT,?,"A.Phillips (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0,?
479,Brandon,Austin,GKP,TOT,?,"Austin (GKP, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0,?
483,Bryan,Gil Salvatierra,MID,TOT,?,"Bryan (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
485,Alfie,Devine,MID,TOT,?,"Devine (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
487,Emerson,Leite de Souza Junior,DEF,TOT,?,"E.Royal (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0,?
490,Pierre-Emile,Højbjerg,MID,TOT,?,"Højbjerg (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
493,Giovani,Lo Celso,MID,TOT,?,"Lo Celso (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
496,Sergio,Reguilón,DEF,TOT,?,"Reguilón (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0,?
500,Dane,Scarlett,FWD,TOT,?,"Scarlett (FWD, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
502,Manor,Solomon,MID,TOT,?,"Solomon (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
507,Alejo,Véliz,FWD,TOT,?,"Veliz (FWD, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
510,Alfie,Whiteman,GKP,TOT,?,"Whiteman (GKP, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0,?
683,Callum,Olusesi,MID,TOT,?,"Olusesi (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
684,Malachi,Hardy,DEF,TOT,?,"Hardy (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0,?
689,Luca,Williams-Barnett,MID,TOT,?,"Williams-Barnett (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0,?
700,Maeson,King,DEF,TOT,?,"King (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0,?
388,Aaron,Wan-Bissaka,DEF,WHU,?,"Wan-Bissaka (DEF, ?)",47,15,1,5.8,3.7600000000000002,4.955804677345546,2.0,1.0,2.9375,2.53125,3.613667631368441,2.0,1.0,3.1333333333333333,2.5955555555555554,3.649048582241069,-1,1.8888888888888888,1,2.111111111111111,0,0.0,2.0,1,0,0,0,?
