home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
1,-6,-5,LEI,MCI,5,-1,6
-1,3,4,CRY,SOU,-4,1,-3
-8,5,-5,EVE,NFO,5,8,-5
-1,2,1,FUL,BOU,-1,1,-2
9,-1,1,TOT,WOL,-1,-9,1
-7,-4,-5,WHU,LIV,5,7,4
0,-6,0,AVL,BHA,0,0,6
-2,-4,-8,IPS,CHE,8,2,4
-4,0,-2,MUN,NEW,2,4,0
-5,-7,-7,BRE,ARS,7,5,7
3,1,-3,TOT,NEW,3,-3,-1
7,-2,6,AVL,LEI,-6,-7,2
-3,6,2,BOU,EVE,-2,3,-6
-2,-5,-4,CRY,CHE,4,2,5
1,0,2,MCI,WHU,-2,-1,0
-1,-2,-2,SOU,BRE,2,1,2
-2,-1,-2,BHA,ARS,2,2,1
1,6,6,FUL,IPS,-6,-1,-6
5,7,6,LIV,MUN,-6,-5,-7
-2,-3,-7,WOL,NFO,7,2,3
2,-5,-4,BRE,MCI,4,-2,5
2,-2,3,CHE,BOU,-3,-2,2
-5,0,-2,WHU,FUL,2,5,0
-6,-1,-1,NFO,LIV,1,6,1
-1,1,-4,EVE,AVL,4,1,-1
0,-1,-3,LEI,CRY,3,0,1
4,0,4,NEW,WOL,-4,-4,0
3,0,7,ARS,TOT,-7,-3,0
-6,-3,-7,IPS,BHA,7,6,3
0,4,3,MUN,SOU,-3,0,-4
-2,1,0,NEW,BOU,0,2,-1
-5,-8,-7,BRE,LIV,7,5,8
-4,-5,-5,LEI,FUL,5,4,5
-1,4,0,WHU,CRY,0,1,-4
7,2,2,ARS,AVL,-2,-7,-2
-5,-1,1,EVE,TOT,-1,5,1
-5,-3,-4,MUN,BHA,4,5,3
1,8,8,NFO,SOU,-8,-1,-8
-1,-2,-6,IPS,MCI,6,1,2
8,-3,7,CHE,WOL,-7,-8,3
-3,3,-3,BOU,NFO,3,3,-3
-1,7,4,BHA,EVE,-4,1,-7
5,8,9,LIV,IPS,-9,-5,-8
-6,-2,-5,SOU,NEW,5,6,2
-3,-8,-8,WOL,ARS,8,3,8
3,-6,-2,MCI,CHE,2,-3,6
0,-1,2,CRY,BRE,-2,0,1
9,2,1,TOT,LEI,-1,-9,-2
2,-1,3,AVL,WHU,-3,-2,1
1,5,3,FUL,MUN,-3,-1,-5
