att_rank,att_tier,team,att_avg_xPts,att_med_xPts,avg_GF/match,med_GF/match,att_avg_potential,att_med_potential,attAdv_nxtGWs
3,2,ARS,31.488519382083787,28.0,1.9444444444444444,2.0,1.0022709636072054,1.0922067031064246,26
4,2,CHE,33.82258358305582,30.628677106876,2.111111111111111,1.5,1.3845609312144522,0.7028210966007027,25
2,1,LIV,38.299162709941875,37.14589803375031,2.3529411764705883,2.0,2.012215427592183,1.693957861907175,23
1,1,TOT,31.446357880763813,32.236067977499786,2.1666666666666665,2.5,1.300841293519969,1.9332558088299803,22
8,4,MCI,25.446357880763813,22.80901699437495,1.6666666666666667,1.5,0.221059537981552,0.18832929746131535,17
5,3,BHA,25.34053537756882,24.47213595499958,1.5,1.5,-0.012068874482376202,0.29775362715719983,9
6,3,AVL,23.579420193471954,24.090169943749473,1.4444444444444444,1.5,-0.20530850982476767,0.27262230718475866,6
9,5,FUL,25.486433411319137,25.899186938124423,1.4444444444444444,1.0,-0.0776504296752483,-0.1706925494225776,6
11,6,NEW,32.427675218612116,31.729490168751575,1.6666666666666667,1.0,0.6883984950109918,0.21291021022285522,3
7,4,WOL,25.034335221597217,24.145898033750314,1.6111111111111112,1.5,0.11813000645599338,0.2762889173553102,-1
14,7,LEI,23.553642119236187,23.0,1.2222222222222223,1.0,-0.5084268080927876,-0.36144353889634634,-3
12,6,BRE,28.603005664791652,25.30901699437495,1.7777777777777777,1.0,0.5830662091005923,-0.20952257423006362,-5
18,9,CRY,18.16092635770856,16.409830056250524,1.0,1.0,-1.1708152755709889,-0.7950414628759517,-6
10,5,BOU,29.101543929514264,27.836881039375367,1.5,1.0,0.2396981959652979,-0.04320264449228456,-7
13,7,NFO,25.258922581180798,26.409830056250524,1.3333333333333333,1.0,-0.2435766559735087,-0.13709496425829923,-10
16,8,WHU,23.587977340833405,22.190983005625053,1.2777777777777777,1.0,-0.43078019161745973,-0.4146725287753287,-12
15,8,MUN,24.323314450694504,22.045084971874736,1.1666666666666667,1.0,-0.5322520563317537,-0.4242718388217197,-21
19,10,SOU,14.956376763402643,13.309016994374948,0.6111111111111112,0.5,-1.9127694078568243,-1.5613968689186353,-22
17,9,IPS,18.95209818972192,17.663118960624633,0.8888888888888888,1.0,-1.2685494874083338,-0.7125817582358743,-23
20,10,EVE,20.287156202896977,17.618033988749893,0.8823529411764706,0.0,-1.1880433636080072,-1.8402251008777388,-27
