team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
LIV,28,"M.Salah (MID, ?) ==> (10.0, 62.444)","Luis Díaz (MID, ?) ==> (3.0, 21.222)","Alexander-Arnold (DEF, ?) ==> (2.0, 16.222)","Szoboszlai (MID, ?) ==> (2.0, 13.111)","Gravenberch (MID, ?) ==> (2.0, 13.111)"
ARS,26,"Gabriel (DEF, ?) ==> (3.0, 23.667)","Raya (GKP, ?) ==> (3.0, 20.778)","Saliba (DEF, ?) ==> (2.0, 17.222)","Ødegaard (MID, ?) ==> (2.0, 15.778)","Havertz (FWD, ?) ==> (2.0, 14.333)"
CHE,24,"Palmer (MID, ?) ==> (6.0, 40.667)","Sancho (MID, ?) ==> (2.0, 15.333)","Sánchez (GKP, ?) ==> (2.0, 12.667)","Enzo (MID, ?) ==> (2.0, 12.667)","Colwill (DEF, ?) ==> (2.0, 12.667)"
NFO,22,"Milenković (DEF, ?) ==> (5.5, 33.611)","Sels (GKP, ?) ==> (3.0, 18.667)","Aina (DEF, ?) ==> (2.0, 13.667)","Murillo (DEF, ?) ==> (2.0, 13.667)","Gibbs-White (MID, ?) ==> (2.0, 13.667)"
FUL,17,"Iwobi (MID, ?) ==> (3.0, 16.889)","Leno (GKP, ?) ==> (3.0, 16.889)","Robinson (DEF, ?) ==> (2.0, 12.833)","Raúl (FWD, ?) ==> (2.0, 11.889)","Muniz (FWD, ?) ==> (1.5, 8.444)"
MCI,15,"Haaland (FWD, ?) ==> (3.5, 20.0)","Gvardiol (DEF, ?) ==> (2.0, 13.333)","Bernardo (MID, ?) ==> (2.0, 11.667)","Gündogan (MID, ?) ==> (2.0, 10.0)","Doku (MID, ?) ==> (1.5, 10.0)"
NEW,14,"Isak (FWD, ?) ==> (5.5, 32.944)","Gordon (MID, ?) ==> (2.5, 15.611)","Schär (DEF, ?) ==> (2.0, 13.111)","J.Murphy (MID, ?) ==> (2.0, 12.333)","Hall (DEF, ?) ==> (2.0, 11.556)"
BHA,13,"João Pedro (FWD, ?) ==> (2.0, 12.889)","Georginio (MID, ?) ==> (2.0, 11.444)","Verbruggen (GKP, ?) ==> (2.0, 11.444)","Baleba (MID, ?) ==> (2.0, 11.444)","Mitoma (MID, ?) ==> (2.0, 10.722)"
AVL,11,"Tielemans (MID, ?) ==> (2.0, 11.222)","McGinn (MID, ?) ==> (2.0, 11.222)","Rogers (MID, ?) ==> (2.0, 10.611)","Martinez (GKP, ?) ==> (2.0, 10.611)","Konsa (DEF, ?) ==> (1.0, 6.222)"
CRY,5,"Lacroix (DEF, ?) ==> (2.0, 11.111)","I.Sarr (MID, ?) ==> (2.0, 10.556)","Henderson (GKP, ?) ==> (2.0, 10.556)","Mitchell (DEF, ?) ==> (1.5, 7.778)","Hughes (MID, ?) ==> (1.5, 7.778)"
BOU,-5,"Kluivert (MID, ?) ==> (2.5, 11.944)","Semenyo (MID, ?) ==> (2.5, 11.667)","Christie (MID, ?) ==> (2.0, 9.722)","Kerkez (DEF, ?) ==> (2.0, 9.444)","Zabarnyi (DEF, ?) ==> (2.0, 9.444)"
TOT,-9,"Maddison (MID, ?) ==> (4.0, 18.0)","Johnson (MID, ?) ==> (3.5, 16.0)","Kulusevski (MID, ?) ==> (2.0, 9.0)","Son (MID, ?) ==> (2.0, 8.0)","Solanke (FWD, ?) ==> (2.0, 8.0)"
WHU,-12,"Bowen (MID, ?) ==> (4.0, 17.333)","Souček (MID, ?) ==> (2.0, 8.667)","Wan-Bissaka (DEF, ?) ==> (2.0, 8.667)","Kudus (MID, ?) ==> (2.0, 8.0)","Fabianski (GKP, ?) ==> (1.5, 5.5)"
MUN,-12,"B.Fernandes (MID, ?) ==> (3.0, 13.0)","Amad (MID, ?) ==> (2.5, 9.167)","Onana (GKP, ?) ==> (2.0, 8.667)","Mainoo (MID, ?) ==> (1.5, 6.833)","Zirkzee (FWD, ?) ==> (1.0, 5.0)"
EVE,-14,"Young (DEF, ?) ==> (5.0, 20.333)","A.Doucoure (MID, ?) ==> (2.0, 8.444)","Gana (MID, ?) ==> (2.0, 8.444)","Pickford (GKP, ?) ==> (2.0, 6.889)","Tarkowski (DEF, ?) ==> (2.0, 6.889)"
BRE,-18,"Mbeumo (MID, ?) ==> (4.0, 15.0)","Flekken (GKP, ?) ==> (3.0, 13.0)","Damsgaard (MID, ?) ==> (3.0, 12.0)","Schade (MID, ?) ==> (2.0, 8.0)","Nørgaard (MID, ?) ==> (2.0, 8.0)"
LEI,-20,"J.Ayew (MID, ?) ==> (2.0, 7.778)","Vardy (FWD, ?) ==> (2.0, 5.556)","Mavididi (MID, ?) ==> (1.0, 5.0)","Buonanotte (MID, ?) ==> (1.5, 4.167)","De Cordova-Reid (MID, ?) ==> (1.0, 3.889)"
