team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
LIV,28.0,1,2,"M.Salah (MID, ?) ==> (10.0, 61.33333)","Virgil (DEF, ?) ==> (5.0, 35.16667)","Alexander-Arnold (DEF, ?) ==> (2.0, 16.77778)"
ARS,22.5,2,1,"Saka (MID, ?) ==> (3.5, 24.72222)","Gabriel (DEF, ?) ==> (3.0, 21.33333)","Martinelli (MID, ?) ==> (3.0, 20.77778)"
CHE,17.25,3,0,"Palmer (MID, ?) ==> (6.0, 40.88889)","Madueke (MID, ?) ==> (2.5, 16.58333)","Sancho (MID, ?) ==> (2.0, 15.44444)"
FUL,15.5,0,3,"Leno (GKP, ?) ==> (3.0, 17.16667)","Robinson (DEF, ?) ==> (2.0, 13.25)","Bassey (DEF, ?) ==> (2.0, 11.08333)"
NFO,13.5,0,3,"Milenković (DEF, ?) ==> (5.5, 33.33333)","Sels (GKP, ?) ==> (3.0, 18.5)","Aina (DEF, ?) ==> (2.0, 13.5)"
BHA,13.0,1,2,"João Pedro (FWD, ?) ==> (2.0, 12.44444)","Verbruggen (GKP, ?) ==> (2.0, 11.66667)","Dunk (DEF, ?) ==> (1.0, 6.66667)"
NEW,9.75,2,1,"Isak (FWD, ?) ==> (5.5, 30.80556)","Gordon (MID, ?) ==> (2.5, 14.38889)","Schär (DEF, ?) ==> (2.0, 12.44444)"
MCI,9.75,3,0,"Haaland (FWD, ?) ==> (3.5, 20.16667)","Bernardo (MID, ?) ==> (2.0, 11.77778)","Doku (MID, ?) ==> (1.5, 10.16667)"
AVL,3.25,3,0,"Tielemans (MID, ?) ==> (2.0, 10.94444)","McGinn (MID, ?) ==> (2.0, 10.94444)","Rogers (MID, ?) ==> (2.0, 10.47222)"
TOT,2.0,2,1,"Maddison (MID, ?) ==> (4.0, 21.44444)","Johnson (MID, ?) ==> (3.5, 18.58333)","Pedro Porro (DEF, ?) ==> (2.0, 9.72222)"
CRY,0.5,2,1,"Lacroix (DEF, ?) ==> (2.0, 10.33333)","Mateta (FWD, ?) ==> (2.0, 9.97222)","Eze (MID, ?) ==> (2.0, 9.97222)"
BOU,-1.75,0,3,"Arrizabalaga (GKP, ?) ==> (2.0, 10.55556)","Kerkez (DEF, ?) ==> (2.0, 10.27778)","Zabarnyi (DEF, ?) ==> (2.0, 10.27778)"
WHU,-9.75,1,2,"Bowen (MID, ?) ==> (4.0, 17.33333)","Wan-Bissaka (DEF, ?) ==> (2.0, 9.16667)","Kilman (DEF, ?) ==> (1.5, 7.08333)"
EVE,-11.5,0,3,"Young (DEF, ?) ==> (5.0, 24.16667)","Pickford (GKP, ?) ==> (2.0, 9.44444)","Tarkowski (DEF, ?) ==> (2.0, 9.44444)"
MUN,-12.5,1,2,"B.Fernandes (MID, ?) ==> (3.0, 12.25)","Onana (GKP, ?) ==> (2.0, 9.05556)","Mazraoui (DEF, ?) ==> (1.5, 7.02778)"
BRE,-15.0,2,1,"Mbeumo (MID, ?) ==> (4.0, 16.80556)","Damsgaard (MID, ?) ==> (3.0, 13.08333)","Flekken (GKP, ?) ==> (3.0, 12.94444)"
SOU,-17.5,0,3,"Walker-Peters (DEF, ?) ==> (1.5, 6.05556)","Harwood-Bellis (DEF, ?) ==> (1.0, 3.55556)","Sugawara (DEF, ?) ==> (1.0, 3.55556)"
LEI,-17.75,3,0,"J.Ayew (MID, ?) ==> (2.0, 8.72222)","Vardy (FWD, ?) ==> (2.0, 7.44444)","Buonanotte (MID, ?) ==> (1.5, 5.58333)"
WOL,-21.75,3,0,"Cunha (FWD, ?) ==> (6.0, 23.77778)","Strand Larsen (FWD, ?) ==> (2.0, 10.0)","J.Gomes (MID, ?) ==> (2.0, 8.44444)"
IPS,-27.5,1,2,"Hutchinson (MID, ?) ==> (2.0, 10.0)","Muric (GKP, ?) ==> (2.0, 7.16667)","Davis (DEF, ?) ==> (2.0, 7.16667)"
