att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
20,3,-17,EVE,17.618033988749893,20.87538820250189,-3.2573542137519986,-8,5,-13,1,-13.0,0,3
13,4,-9,NFO,26.409830056250524,18.965558146251368,7.444271909999156,-5,8,-13,1,-13.0,0,3
18,14,-4,CRY,16.409830056250524,18.982779073125684,-2.5729490168751603,-1,3,-4,1,-4.0,0,3
19,15,-4,SOU,13.309016994374948,11.381966011250105,1.9270509831248432,-3,1,-4,1,-4.0,0,3
15,11,-4,MUN,22.045084971874736,8.663118960624633,13.381966011250103,-4,0,-4,1,-4.0,0,3
11,8,-3,NEW,31.729490168751575,15.128677106875998,16.600813061875577,0,4,-4,1,-4.0,1,2
16,9,-7,WHU,22.190983005625053,11.190983005625053,11.0,-7,-4,-3,1,-3.0,1,2
9,5,-4,FUL,25.899186938124423,13.072949016875157,12.826237921249266,-1,2,-3,1,-3.0,1,2
10,7,-3,BOU,27.836881039375367,16.274575140626315,11.562305898749052,-2,1,-3,1,-3.0,1,2
2,2,0,LIV,37.14589803375031,12.70820393249937,24.437694101250944,4,7,-3,1,-3.0,1,2
17,12,-5,IPS,17.663118960624633,9.5,8.163118960624633,-2,-4,2,1,2.0,2,1
3,1,-2,ARS,28.0,17.29179606750063,10.70820393249937,7,5,2,1,2.0,2,1
12,18,6,BRE,25.30901699437495,10.381966011250105,14.927050983124845,-5,-7,2,1,2.0,2,1
4,13,9,CHE,30.628677106876,12.05572809000084,18.57294901687516,4,2,2,1,2.0,2,1
5,6,1,BHA,24.47213595499958,12.954915028125264,11.517220926874316,6,0,6,1,6.0,2,1
6,17,11,AVL,24.090169943749473,9.0,15.090169943749473,0,-6,6,1,6.0,3,0
14,20,6,LEI,23.0,5.427050983124842,17.572949016875157,1,-6,7,1,7.0,3,0
8,16,8,MCI,22.80901699437495,9.73606797749979,13.07294901687516,6,-1,7,1,7.0,3,0
1,10,9,TOT,32.236067977499786,9.23606797749979,22.999999999999996,9,-1,10,1,10.0,3,0
7,19,12,WOL,24.145898033750314,8.618033988749895,15.527864045000419,1,-9,10,1,10.0,3,0
