team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
TOT,9,"Maddison (MID, ?) ==> (4.0, 6.0)","Johnson (MID, ?) ==> (3.5, 5.0)","Son (MID, ?) ==> (2.0, 4.0)","Solanke (FWD, ?) ==> (2.0, 4.0)","Kulusevski (MID, ?) ==> (2.0, 3.0)"
ARS,7,"Saka (MID, ?) ==> (3.5, 5.444)","Martinelli (MID, ?) ==> (3.0, 4.556)","Ødegaard (MID, ?) ==> (2.0, 3.556)","Havertz (FWD, ?) ==> (2.0, 3.167)","Rice (MID, ?) ==> (2.0, 2.778)"
BHA,6,"João Pedro (FWD, ?) ==> (2.0, 3.333)","Georginio (MID, ?) ==> (2.0, 2.667)","Baleba (MID, ?) ==> (2.0, 2.667)","Mitoma (MID, ?) ==> (2.0, 2.333)","Wieffer (MID, ?) ==> (1.0, 1.667)"
MCI,6,"Haaland (FWD, ?) ==> (3.5, 4.5)","Bernardo (MID, ?) ==> (2.0, 2.667)","Doku (MID, ?) ==> (1.5, 2.5)","Gündogan (MID, ?) ==> (2.0, 2.0)","De Bruyne (MID, ?) ==> (1.0, 1.667)"
LIV,4,"M.Salah (MID, ?) ==> (10.0, 11.778)","Szoboszlai (MID, ?) ==> (2.0, 2.444)","Gravenberch (MID, ?) ==> (2.0, 2.444)","Mac Allister (MID, ?) ==> (2.0, 2.444)","Gakpo (FWD, ?) ==> (1.0, 1.0)"
CHE,4,"Palmer (MID, ?) ==> (6.0, 7.778)","Madueke (MID, ?) ==> (2.5, 3.167)","Sancho (MID, ?) ==> (2.0, 2.889)","Enzo (MID, ?) ==> (2.0, 2.444)","Caicedo (MID, ?) ==> (2.0, 2.222)"
WOL,1,"Cunha (FWD, ?) ==> (6.0, 6.444)","J.Gomes (MID, ?) ==> (2.0, 2.111)","Strand Larsen (FWD, ?) ==> (2.0, 2.0)","André (MID, ?) ==> (1.0, 1.111)","Guedes (MID, ?) ==> (1.0, 1.056)"
LEI,1,"Vardy (FWD, ?) ==> (2.0, 2.222)","J.Ayew (MID, ?) ==> (2.0, 2.111)","Buonanotte (MID, ?) ==> (1.5, 1.667)","El Khannouss (MID, ?) ==> (1.0, 1.111)","De Cordova-Reid (MID, ?) ==> (1.0, 1.056)"
AVL,0,"Rogers (MID, ?) ==> (2.0, 2.0)","Tielemans (MID, ?) ==> (2.0, 2.0)","McGinn (MID, ?) ==> (2.0, 2.0)","Duran (FWD, ?) ==> (1.0, 1.0)","Kamara (MID, ?) ==> (0.0, 0.0)"
NEW,0,"Isak (FWD, ?) ==> (5.5, 5.5)","Gordon (MID, ?) ==> (2.5, 2.5)","J.Murphy (MID, ?) ==> (2.0, 2.0)","Bruno G. (MID, ?) ==> (2.0, 2.0)","Tonali (MID, ?) ==> (1.0, 1.0)"
