team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
CHE,8,"Palmer (MID, ?) ==> (6.0, 9.556)","Sancho (MID, ?) ==> (2.0, 3.778)","Sánchez (GKP, ?) ==> (2.0, 2.889)","Enzo (MID, ?) ==> (2.0, 2.889)","Colwill (DEF, ?) ==> (2.0, 2.889)"
ARS,7,"Gabriel (DEF, ?) ==> (3.0, 5.333)","Raya (GKP, ?) ==> (3.0, 4.556)","Saliba (DEF, ?) ==> (2.0, 3.944)","Ødegaard (MID, ?) ==> (2.0, 3.556)","Havertz (FWD, ?) ==> (2.0, 3.167)"
LIV,5,"M.Salah (MID, ?) ==> (10.0, 12.222)","Luis Díaz (MID, ?) ==> (3.0, 4.111)","Alexander-Arnold (DEF, ?) ==> (2.0, 3.111)","Szoboszlai (MID, ?) ==> (2.0, 2.556)","Gravenberch (MID, ?) ==> (2.0, 2.556)"
NFO,5,"Milenković (DEF, ?) ==> (5.5, 6.889)","Sels (GKP, ?) ==> (3.0, 3.833)","Aina (DEF, ?) ==> (2.0, 2.833)","Murillo (DEF, ?) ==> (2.0, 2.833)","Gibbs-White (MID, ?) ==> (2.0, 2.833)"
MCI,5,"Haaland (FWD, ?) ==> (3.5, 4.333)","Gvardiol (DEF, ?) ==> (2.0, 3.111)","Bernardo (MID, ?) ==> (2.0, 2.556)","Doku (MID, ?) ==> (1.5, 2.333)","Gündogan (MID, ?) ==> (2.0, 2.0)"
CRY,4,"Lacroix (DEF, ?) ==> (2.0, 2.889)","I.Sarr (MID, ?) ==> (2.0, 2.444)","Henderson (GKP, ?) ==> (2.0, 2.444)","Mitchell (DEF, ?) ==> (1.5, 1.722)","Hughes (MID, ?) ==> (1.5, 1.722)"
NEW,2,"Isak (FWD, ?) ==> (5.5, 6.278)","Gordon (MID, ?) ==> (2.5, 2.944)","Schär (DEF, ?) ==> (2.0, 2.444)","J.Murphy (MID, ?) ==> (2.0, 2.333)","Hall (DEF, ?) ==> (2.0, 2.222)"
FUL,1,"Iwobi (MID, ?) ==> (3.0, 3.111)","Leno (GKP, ?) ==> (3.0, 3.111)","Robinson (DEF, ?) ==> (2.0, 2.167)","Raúl (FWD, ?) ==> (2.0, 2.111)","Muniz (FWD, ?) ==> (1.5, 1.556)"
TOT,1,"Maddison (MID, ?) ==> (4.0, 4.222)","Johnson (MID, ?) ==> (3.5, 3.667)","Son (MID, ?) ==> (2.0, 2.222)","Solanke (FWD, ?) ==> (2.0, 2.222)","Kulusevski (MID, ?) ==> (2.0, 2.111)"
BHA,0,"Mitoma (MID, ?) ==> (2.0, 2.0)","João Pedro (FWD, ?) ==> (2.0, 2.0)","Georginio (MID, ?) ==> (2.0, 2.0)","Verbruggen (GKP, ?) ==> (2.0, 2.0)","Baleba (MID, ?) ==> (2.0, 2.0)"
