def_rank,def_tier,team,def_xPts,avg_GA/match,def_potential,defAdv_nxtGWs
2,1,NFO,20.509288015,0.75,1.29453070516,27
3,2,MUN,18.07589914547,1.125,0.68756427453,19
4,2,NEW,17.10013551031,1.0,0.62919488096,18
1,1,LIV,24.65383094562,0.375,2.15113901022,17
7,4,EVE,20.11576141172,1.875,0.48124761578,14
8,4,TOT,15.82261024109,1.125,0.35882983822,10
5,3,MCI,17.10013551031,1.125,0.54520920059,6
6,3,AVL,17.26891480578,1.25,0.4858468903,4
9,5,ARS,14.93861157515,1.0,0.31384812227,0
10,5,CRY,14.84549150281,1.375,0.04830570628,0
11,6,BHA,14.00430523172,1.25,0.00956993085,-4
13,7,LEI,15.03284682828,1.75,-0.17631789029,-4
14,7,FUL,12.94562701313,1.375,-0.22886730996,-6
16,8,BRE,12.83688103938,1.875,-0.58067508377,-8
12,6,BOU,13.37335554781,1.25,-0.08247991162,-10
15,8,CHE,10.40349216984,1.25,-0.51575607145,-10
17,9,WHU,9.14023769891,1.875,-1.1199818555,-10
20,10,WOL,9.11871154031,2.875,-1.79500776996,-17
19,10,IPS,8.34911918297,2.0,-1.3193845598,-22
18,9,SOU,10.40915250469,2.25,-1.18681572283,-24
