team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
TOT,23,"Johnson (MID, 5↓) ==> (5.935, 15.506)","Kulusevski (MID, 2↑) ==> (5.902, 8.914)","Maddison (MID, 4↓) ==> (5.555, 19.963)","Solanke (FWD, 3↓) ==> (3.776, 9.287)","Bissouma (MID, 5↑) ==> (3.269, 2.322)"
LIV,16,"M.Salah (MID, 4↑) ==> (8.683, 43.743)","Diogo J. (MID, 4↓) ==> (5.173, 20.125)","Jones (MID, 6↑) ==> (4.409, 4.53)","Gravenberch (MID, ~) ==> (2.603, 12.812)","Gakpo (FWD, ~) ==> (1.967, 4.271)"
MCI,16,"Kovačić (MID, 5↓) ==> (5.523, 8.93)","Doku (MID, ~) ==> (3.475, 8.8)","Bernardo (MID, 3↓) ==> (3.349, 8.8)","Grealish (MID, 4↓) ==> (2.776, 6.535)","Foden (MID, 2↑) ==> (1.872, 4.53)"
CHE,14,"Palmer (MID, 5↓) ==> (10.093, 26.417)","Madueke (MID, 3↓) ==> (5.651, 13.152)","N.Jackson (FWD, 2↓) ==> (4.97, 24.282)","Sancho (MID, 3↓) ==> (3.379, 6.746)","Caicedo (MID, 2↑) ==> (2.698, 8.768)"
BHA,14,"Georginio (MID, ~) ==> (6.424, 11.13)","Welbeck (FWD, 3↑) ==> (6.302, 30.688)","Baleba (MID, 2↓) ==> (4.648, 8.768)","Mitoma (MID, 3↓) ==> (3.176, 17.536)","Minteh (MID, 3↓) ==> (2.651, 8.881)"
BRE,14,"Mbeumo (MID, 4↓) ==> (6.445, 34.958)","Damsgaard (MID, ~) ==> (4.997, 10.903)","Carvalho (MID, 3↓) ==> (3.585, 4.271)","Janelt (MID, ~) ==> (2.555, 8.541)","Lewis-Potter (MID, 1↓) ==> (2.555, 8.768)"
ARS,6,"Saka (MID, 5↓) ==> (6.492, 25.866)","Martinelli (MID, 5↓) ==> (5.791, 13.006)","Havertz (FWD, 4↓) ==> (5.302, 17.277)","Trossard (MID, 3↓) ==> (4.538, 8.638)","Thomas (MID, ~) ==> (2.43, 8.638)"
FUL,6,"Raúl (FWD, ~) ==> (6.188, 23.828)","Andreas (MID, 4↓) ==> (3.982, 8.638)","Adama (MID, ~) ==> (2.874, 12.909)","Iwobi (MID, 2↓) ==> (2.827, 10.725)","Muniz (FWD, 3↓) ==> (2.302, 8.638)"
BOU,5,"Cook (MID, ~) ==> (4.379, 8.622)","Evanilson (FWD, 2↑) ==> (4.347, 8.622)","Semenyo (MID, ~) ==> (3.842, 15.109)","Kluivert (MID, 5↑) ==> (3.776, 6.527)","O.Dango (MID, 1↑) ==> (3.427, 6.487)"
AVL,4,"Watkins (FWD, 1↑) ==> (6.666, 23.715)","Rogers (MID, ~) ==> (4.92, 10.709)","Tielemans (MID, 4↑) ==> (4.111, 10.741)","Bailey (MID, 2↓) ==> (2.523, 4.303)","Ramsey (MID, 3↑) ==> (2.302, 8.573)"
EVE,0,"McNeil (MID, 1↓) ==> (6.982, 17.082)","Ndiaye (FWD, 4↑) ==> (4.173, 8.541)","Harrison (MID, ~) ==> (2.92, 8.541)","Calvert-Lewin (FWD, ~) ==> (2.415, 8.541)","A.Doucoure (MID, ~) ==> (2.317, 8.541)"
LEI,-1,"Buonanotte (MID, ~) ==> (5.95, 19.185)","Vardy (FWD, 3↑) ==> (3.286, 8.525)","Mavididi (MID, 4↓) ==> (2.731, 8.525)","J.Ayew (MID, 3↑) ==> (2.57, 6.398)","Ndidi (MID, ~) ==> (2.43, 8.541)"
WOL,-2,"Strand Larsen (FWD, 4↑) ==> (5.126, 14.898)","Cunha (FWD, 3↓) ==> (4.206, 8.525)","Mario Jr. (MID, ~) ==> (2.477, 8.541)","Bellegarde (MID, 1↓) ==> (2.239, 10.628)","J.Gomes (MID, ~) ==> (1.555, 6.39)"
NFO,-7,"Wood (FWD, 1↑) ==> (5.698, 31.859)","Hudson-Odoi (MID, ~) ==> (2.43, 12.698)","Yates (MID, 2↑) ==> (2.095, 6.349)","Anderson (MID, ~) ==> (1.937, 8.428)","Elanga (MID, 2↑) ==> (1.746, 6.349)"
MUN,-7,"Garnacho (MID, 5↑) ==> (4.523, 10.563)","Rashford (MID, 4↑) ==> (3.302, 8.484)","Højlund (FWD, 4↑) ==> (2.839, 2.079)","B.Fernandes (MID, 3↑) ==> (2.239, 12.698)","Eriksen (MID, ~) ==> (1.555, 6.349)"
NEW,-12,"Gordon (MID, 2↓) ==> (3.952, 8.444)","Barnes (MID, 3↓) ==> (3.098, 16.498)","J.Murphy (MID, 1↓) ==> (2.302, 8.346)","Bruno G. (MID, ~) ==> (2.239, 8.346)","Joelinton (MID, ~) ==> (2.239, 6.308)"
WHU,-16,"Antonio (FWD, 3↓) ==> (6.678, 8.411)","Bowen (MID, 2↓) ==> (5.111, 14.558)","Souček (MID, 2↓) ==> (4.015, 6.146)","Kudus (MID, 1↑) ==> (3.57, 8.411)","L.Paquetá (MID, 2↓) ==> (3.46, 8.282)"
IPS,-23,"Delap (FWD, 3↓) ==> (5.696, 8.168)","Hutchinson (MID, ~) ==> (2.92, 8.541)","J.Clarke (MID, ~) ==> (2.173, 4.084)","Morsy (MID, 1↓) ==> (1.985, 8.355)","Phillips (MID, ~) ==> (1.714, 8.541)"
CRY,-24,"Eze (MID, ~) ==> (2.43, 8.541)","Mateta (FWD, ~) ==> (1.922, 6.211)","Nketiah (FWD, ~) ==> (1.46, 6.211)","Kamada (MID, ~) ==> (1.397, 4.271)","Lerma (MID, ~) ==> (1.206, 4.076)"
SOU,-26,"Archer (FWD, 5↑) ==> (4.505, 4.271)","Aribo (MID, 5↑) ==> (3.379, 8.33)","M.Fernandes (MID, 1↓) ==> (2.111, 4.06)","Downes (MID, ~) ==> (1.651, 8.541)","Dibling (MID, 1↓) ==> (1.525, 4.271)"
