team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
TOT,19.25,2,1,"Maddison (MID, 4↓) ==> (5.55526, 19.94678)","Johnson (MID, 5↓) ==> (5.93457, 15.4939)","Pedro Porro (DEF, 1↓) ==> (2.98497, 8.80039)"
LIV,15.75,1,2,"M.Salah (MID, 4↑) ==> (8.68347, 43.71017)","Alexander-Arnold (DEF, 4↓) ==> (4.31919, 26.40118)","Konaté (DEF, 4↓) ==> (4.6985, 26.01212)"
NFO,12.0,0,3,"Milenković (DEF, 3↑) ==> (4.01503, 15.77759)","Sels (GKP, 5↑) ==> (5.06277, 13.31001)","Aina (DEF, 4↑) ==> (3.49249, 9.0395)"
MCI,10.5,2,1,"Kovačić (MID, 5↓) ==> (5.52254, 8.85713)","Doku (MID, ~) ==> (3.4748, 8.75176)","Lewis (DEF, ~) ==> (2.74624, 8.73555)"
BHA,9.0,3,0,"Welbeck (FWD, 3↑) ==> (6.3015, 30.65953)","Mitoma (MID, 3↓) ==> (3.17595, 17.51973)","Georginio (MID, ~) ==> (6.42439, 11.11397)"
AVL,7.0,1,2,"Watkins (FWD, 1↑) ==> (6.66578, 23.88497)","Digne (DEF, ~) ==> (3.80902, 12.98174)","Martinez (GKP, 3↑) ==> (5.2511, 10.78975)"
EVE,7.0,0,3,"Young (DEF, ~) ==> (4.50485, 11.18692)","Pickford (GKP, 1↓) ==> (6.21838, 8.62613)","Tarkowski (DEF, 1↑) ==> (4.2511, 6.57598)"
ARS,6.0,2,1,"Saka (MID, 5↓) ==> (6.49249, 25.92701)","Havertz (FWD, 4↓) ==> (5.3015, 17.3252)","Gabriel (DEF, 3↓) ==> (2.73388, 17.26441)"
CHE,4.5,3,0,"Palmer (MID, 5↓) ==> (10.09283, 26.21881)","N.Jackson (FWD, 2↓) ==> (4.96994, 24.08355)","Madueke (MID, 3↓) ==> (5.65075, 13.06685)"
FUL,3.5,2,1,"Raúl (FWD, ~) ==> (6.18832, 23.8566)","Adama (MID, ~) ==> (2.87445, 12.9169)","Leno (GKP, 2↑) ==> (3.66578, 12.81963)"
BRE,2.5,3,0,"Mbeumo (MID, 4↓) ==> (6.44474, 34.61798)","Damsgaard (MID, ~) ==> (4.99734, 10.80596)","Lewis-Potter (MID, 1↓) ==> (2.55526, 8.67071)"
MUN,0.0,0,3,"Onana (GKP, 3↓) ==> (4.2237, 19.53341)","Dalot (DEF, 4↓) ==> (3.16093, 15.2629)","Mazraoui (DEF, 1↓) ==> (1.70116, 10.88702)"
NEW,-2.0,0,3,"Pope (GKP, ~) ==> (4.09549, 12.81153)","Hall (DEF, 1↓) ==> (2.50751, 6.45034)","Trippier (DEF, 3↓) ==> (2.68081, 4.35967)"
BOU,-2.25,3,0,"Semenyo (MID, ~) ==> (3.84173, 14.99542)","Cook (MID, ~) ==> (4.37931, 8.56534)","Evanilson (FWD, 2↑) ==> (4.34659, 8.56534)"
LEI,-3.25,2,1,"Buonanotte (MID, ~) ==> (5.94959, 19.13624)","Hermansen (GKP, 2↓) ==> (3.82405, 12.74669)","Ndidi (MID, ~) ==> (2.42971, 8.54102)"
WHU,-12.5,1,2,"Bowen (MID, 2↓) ==> (5.11052, 14.60636)","Areola (GKP, 2↓) ==> (1.33422, 6.3166)","Mavropanos (DEF, ~) ==> (1.12821, 4.27051)"
WOL,-13.75,3,0,"Strand Larsen (FWD, 4↑) ==> (5.12555, 14.70362)","Bellegarde (MID, 1↓) ==> (2.23873, 10.43311)","Mario Jr. (MID, ~) ==> (2.47746, 8.54102)"
CRY,-16.0,0,3,"Henderson (GKP, 2↓) ==> (2.58798, 10.43311)","Guéhi (DEF, 3↓) ==> (3.7763, 8.37891)","Mitchell (DEF, 1↓) ==> (1.68347, 6.32471)"
IPS,-20.75,1,2,"Hutchinson (MID, ~) ==> (2.91954, 8.54102)","Muric (GKP, 1↑) ==> (2.28647, 8.2087)","Davis (DEF, ~) ==> (1.5252, 6.07344)"
SOU,-26.5,1,2,"Downes (MID, ~) ==> (1.65075, 8.54102)","Ramsdale (GKP, 1↓) ==> (1.65075, 8.11954)","Sugawara (DEF, 4↑) ==> (2.14324, 6.19502)"
