home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-5,1,-3,LEI,NFO,3,5,-1
2,2,3,AVL,BOU,-3,-2,-2
6,1,3,BRE,IPS,-3,-6,-1
7,1,7,BHA,WOL,-7,-7,-1
7,7,8,MCI,SOU,-8,-7,-7
0,1,-1,EVE,FUL,1,0,-1
1,0,3,CHE,NEW,-3,-1,0
-6,-4,-8,CRY,TOT,8,6,4
-4,0,0,WHU,MUN,0,4,0
-2,-3,-2,ARS,LIV,2,2,3
-3,1,-4,NEW,ARS,4,3,-1
-2,-4,-3,BOU,MCI,3,2,4
-2,-4,-2,IPS,LEI,2,2,4
4,2,2,LIV,BHA,-2,-4,-2
1,5,4,NFO,WHU,-4,-1,-5
-6,-2,-4,SOU,EVE,4,6,2
-2,0,-1,WOL,CRY,1,2,0
2,0,1,TOT,AVL,-1,-2,0
-1,-1,-4,MUN,CHE,4,1,1
3,-3,1,FUL,BRE,-1,-3,3
2,-3,-1,BRE,BOU,1,-2,3
-3,0,-4,CRY,FUL,4,3,0
-2,-2,-2,WHU,EVE,2,2,2
2,0,0,WOL,SOU,0,-2,0
0,-4,-1,BHA,MCI,1,0,4
1,3,1,LIV,AVL,-1,-1,-3
-2,4,-1,MUN,LEI,1,2,-4
-6,7,3,NFO,NEW,-3,6,-7
9,5,8,TOT,IPS,-8,-9,-5
4,-5,-1,CHE,ARS,1,-4,5
2,-6,-3,LEI,CHE,3,-2,6
-2,3,1,ARS,NFO,-1,2,-3
1,7,7,AVL,CRY,-7,-1,-7
1,-3,-2,BOU,BHA,2,-1,3
1,0,0,EVE,BRE,0,-1,0
5,0,5,FUL,WOL,-5,-5,0
2,-2,-1,MCI,TOT,1,-2,2
-9,-7,-9,SOU,LIV,9,9,7
-7,-1,-1,IPS,MUN,1,7,1
1,4,1,NEW,WHU,-1,-1,-4
6,4,7,BHA,SOU,-7,-6,-4
3,-2,1,BRE,LEI,-1,-3,2
-8,3,-2,CRY,NEW,2,8,-3
2,8,5,NFO,IPS,-5,-2,-8
-1,-5,-5,WOL,BOU,5,1,5
-1,-6,-5,WHU,ARS,5,1,6
2,-4,-2,CHE,AVL,2,-2,4
-5,5,-2,MUN,EVE,2,5,-5
6,1,4,TOT,FUL,-4,-6,-1
1,1,1,LIV,MCI,-1,-1,-1
