id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts/fixture,avg_pts/fixture,MeanAbsDev(pts/fixture),med_pts/fixture,MedAbsDev(pts/fixture),std_pts/fixture_played,avg_pts/fixture_played,MeanAbsDev(pts/fixture_played),med_pts/fixture_played,MedAbsDev(pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,xPts(avgAdv),#OfMatches_nxtGWs,gw9Pts,gw10Pts,gw11Pts,gw12Pts,gw13Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
322,Joe,Gomez,DEF,LIV,~,"Gomez (DEF, ~)",2,2,6,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.4330127018922193,0.25,0.375,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.50751416198,15,0.0,17,0.0,0,0.0,0.0,5,0,1,0,0,6,7,7.0,5↑
316,Darwin,Núñez Ribeiro,FWD,LIV,1↓,"Darwin (FWD, 1↓)",10,5,3,0.4714045207910317,0.3333333333333333,0.4444444444444445,0.0,0.0,1.854049621773916,1.25,1.1875,1.0,0.5,2.0,2.0,1.6,1.0,0.0,0.68346884365,15,4.39209152604,0,0.0,16,4.40019697237,4.3961442492,5,4,2,7,2,1,16,11.603855750800001,6↑
320,Endo,Wataru,MID,LIV,~,"Endo (MID, ~)",2,2,6,0.4714045207910317,0.3333333333333333,0.4444444444444444,0.0,0.0,0.4330127018922193,0.25,0.375,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3015028324,15,0.0,0,0.0,16,0.0,0.0,5,1,1,1,1,0,4,4.0,3↑
660,Vítezslav,Jaros,GKP,LIV,~,"Jaros (GKP, ~)",1,1,7,0.4714045207910317,0.3333333333333333,0.4444444444444444,0.0,0.0,0.3307189138830738,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25375708099,15,0.0,17,0.0,0,0.0,0.0,5,0,0,0,0,0,0,0.0,~
313,Conor,Bradley,DEF,LIV,~,"Bradley (DEF, ~)",4,4,4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.19098300563,15,2.2568366104,17,2.27304750304,0,0.0,2.26494205672,5,0,1,6,0,0,7,4.73505794328,4↑
319,Harvey,Elliott,MID,LIV,~,"Elliott (MID, ~)",1,1,7,0.0,0.0,0.0,0.0,0.0,0.3307189138830738,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04774575141,15,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,1,1,1.0,~
333,Jarell,Quansah,DEF,LIV,~,"Quansah (DEF, ~)",1,1,7,0.0,0.0,0.0,0.0,0.0,0.3307189138830738,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04774575141,15,0.0,17,0.0,0,0.0,0.0,5,0,0,0,0,1,1,1.0,~
636,Federico,Chiesa,MID,LIV,~,"Chiesa (MID, ~)",1,1,7,0.0,0.0,0.0,0.0,0.0,0.3307189138830738,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04774575141,15,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
312,Stefan,Bajčetić Maquieira,MID,LIV,~,"Bajcetic (MID, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
315,Bobby,Clark,MID,LIV,~,"Clark (MID, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
318,Ben,Doak,MID,LIV,~,"Doak (MID, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
330,James,McConnell,MID,LIV,~,"McConnell (MID, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
331,Tyler,Morton,MID,LIV,~,"Morton (MID, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
332,Nathaniel,Phillips,DEF,LIV,~,"N.Phillips (DEF, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,17,0.0,0,0.0,0.0,5,0,0,0,0,0,0,0.0,~
334,Rhys,Williams,DEF,LIV,~,"R.Williams (DEF, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,17,0.0,0,0.0,0.0,5,0,0,0,0,0,0,0.0,~
350,Joško,Gvardiol,DEF,MCI,4↑,"Gvardiol (DEF, 4↑)",33,8,0,4.027681991198191,6.666666666666667,3.777777777777777,9.0,1.0,3.62068708949006,4.125,3.40625,2.0,1.0,3.62068708949006,4.125,3.40625,2.0,1.0,5.69583638807,10,8.70312858889,6,8.63828501833,0,0.0,8.67070680361,5,9,7,1,0,0,17,8.32929319639,5↑
354,Mateo,Kovačić,MID,MCI,5↓,"Kovačić (MID, 5↓)",38,8,0,6.377042156569663,6.0,6.0,2.0,1.0,5.141740950300783,4.75,4.4375,2.0,1.5,5.141740950300783,4.75,4.4375,2.0,1.5,5.52254248594,10,8.78418305208,0,0.0,16,8.93008108583,8.85713206896,5,2,2,3,0,0,7,-1.8571320689600004,2↓
