avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
3,2,TOT,4.5,2.75,1.03369908917958,6.25
1,1,LIV,1.5,1.0,1.5549172440938674,4.25
2,1,NFO,3.25,1.75,1.3830278640933746,4.0
14,7,EVE,14.0,7.0,-0.45018927468571457,2.5
7,4,BOU,7.75,4.25,0.34641509084658784,1.5
10,5,FUL,10.75,5.5,-0.003701548675222415,1.5
13,7,MUN,12.0,6.25,-0.20819983850455068,1.25
4,2,MCI,4.0,2.25,0.9836366651101116,0.75
6,3,CHE,7.5,4.0,0.38716178874185825,0.75
17,9,SOU,16.5,8.5,-1.0433836137126202,0.75
5,3,BHA,5.5,3.0,0.5870243473097672,-0.75
8,4,ARS,9.0,4.75,0.10852062371955916,-0.75
20,10,WOL,18.25,9.25,-1.18116638446919,-0.75
16,8,LEI,15.0,7.5,-0.6231590787352057,-1.25
12,6,BRE,11.25,5.75,-0.041629278793642734,-1.5
15,8,CRY,13.25,7.0,-0.5268224830937922,-1.5
18,9,WHU,18.25,9.5,-1.161324943047172,-2.5
11,6,NEW,10.5,5.75,-0.021978910971828886,-4.0
9,5,AVL,9.5,5.25,0.040316304191839736,-4.25
19,10,IPS,17.75,9.0,-1.1631636626008357,-6.25
