team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
TOT,8,"Maddison (MID, 2↑) ==> (4.5, 4.103)","Johnson (MID, 4↑) ==> (3.5, 3.249)","Son (MID, 2↑) ==> (2.5, 2.459)","Solanke (FWD, 6↑) ==> (2.0, 1.968)","Kulusevski (MID, 3↑) ==> (2.0, 1.838)"
LIV,6,"M.Salah (MID, ~) ==> (10.0, 8.833)","Gravenberch (MID, ~) ==> (2.5, 2.184)","Jones (MID, 3↑) ==> (1.0, 0.951)","Darwin (FWD, 1↑) ==> (1.0, 0.951)","Gakpo (FWD, 5↑) ==> (1.0, 0.854)"
BOU,4,"Semenyo (MID, 5↑) ==> (3.5, 3.151)","Tavernier (MID, ~) ==> (2.5, 2.168)","Evanilson (FWD, 4↑) ==> (2.0, 1.838)","Cook (MID, ~) ==> (2.0, 1.773)","Kluivert (MID, 1↑) ==> (2.0, 1.773)"
CHE,3,"Palmer (MID, 2↓) ==> (6.0, 5.295)","N.Jackson (FWD, 4↓) ==> (5.5, 4.868)","Madueke (MID, ~) ==> (2.5, 2.184)","Caicedo (MID, 5↑) ==> (2.0, 1.757)","Neto (MID, 1↑) ==> (1.0, 0.878)"
BRE,2,"Mbeumo (MID, 3↓) ==> (8.0, 7.011)","Damsgaard (MID, 1↑) ==> (2.5, 2.151)","Wissa (FWD, ~) ==> (2.0, 1.773)","Lewis-Potter (MID, 1↑) ==> (2.0, 1.741)","Janelt (MID, 5↑) ==> (2.0, 1.708)"
ARS,2,"Saka (MID, 3↓) ==> (6.0, 5.222)","Martinelli (MID, ~) ==> (3.0, 2.611)","Trossard (MID, ~) ==> (2.0, 1.741)","Havertz (FWD, ~) ==> (2.0, 1.724)","Thomas (MID, ~) ==> (2.0, 1.724)"
MUN,1,"B.Fernandes (MID, 5↑) ==> (3.0, 2.579)","Garnacho (MID, ~) ==> (2.0, 1.716)","Rashford (MID, ~) ==> (2.0, 1.716)","Eriksen (MID, 2↓) ==> (1.5, 1.289)","Højlund (FWD, 3↑) ==> (1.0, 0.87)"
EVE,1,"Ndiaye (FWD, ~) ==> (2.0, 1.724)","Harrison (MID, ~) ==> (2.0, 1.724)","A.Doucoure (MID, 2↓) ==> (2.0, 1.724)","McNeil (MID, ~) ==> (2.0, 1.708)","Gana (MID, ~) ==> (2.0, 1.708)"
MCI,0,"Haaland (FWD, 4↓) ==> (6.5, 5.552)","Kovačić (MID, ~) ==> (2.0, 1.708)","Bernardo (MID, ~) ==> (2.0, 1.708)","Gündogan (MID, 3↑) ==> (2.0, 1.708)","Foden (MID, 1↑) ==> (1.0, 0.854)"
SOU,0,"Downes (MID, 1↑) ==> (2.0, 1.708)","Aribo (MID, ~) ==> (1.5, 1.281)","M.Fernandes (MID, 1↑) ==> (1.5, 1.281)","Archer (FWD, 1↑) ==> (1.0, 0.854)","Dibling (MID, ~) ==> (1.0, 0.854)"
BHA,-1,"Welbeck (FWD, ~) ==> (6.5, 5.511)","Mitoma (MID, ~) ==> (2.5, 2.119)","Georginio (MID, ~) ==> (2.5, 2.103)","Hinshelwood (MID, ~) ==> (2.0, 1.708)","Baleba (MID, 2↓) ==> (2.0, 1.692)"
NFO,-1,"Wood (FWD, ~) ==> (7.5, 6.381)","Hudson-Odoi (MID, 5↑) ==> (3.0, 2.546)","Anderson (MID, 1↑) ==> (2.5, 2.119)","Yates (MID, 1↑) ==> (2.0, 1.692)","Elanga (MID, 1↑) ==> (2.0, 1.692)"
WOL,-1,"Cunha (FWD, 4↑) ==> (4.0, 3.384)","Strand Larsen (FWD, 4↑) ==> (3.5, 2.957)","Mario Jr. (MID, ~) ==> (2.0, 1.7)","J.Gomes (MID, 5↑) ==> (2.0, 1.7)","Doyle (MID, 1↑) ==> (1.0, 0.854)"
LEI,-2,"Vardy (FWD, 3↑) ==> (3.5, 2.908)","Buonanotte (MID, 2↓) ==> (3.0, 2.481)","Winks (MID, ~) ==> (2.0, 1.708)","A.Fatawu (MID, ~) ==> (2.0, 1.676)","J.Ayew (MID, 4↑) ==> (1.5, 1.265)"
AVL,-3,"Watkins (FWD, 2↓) ==> (3.5, 2.916)","Rogers (MID, 5↑) ==> (2.5, 2.087)","Ramsey (MID, ~) ==> (2.0, 1.684)","Tielemans (MID, ~) ==> (2.0, 1.66)","Onana (MID, ~) ==> (2.0, 1.66)"
FUL,-3,"Raúl (FWD, 2↓) ==> (3.5, 2.868)","Adama (MID, 1↑) ==> (3.0, 2.514)","Smith Rowe (MID, ~) ==> (3.0, 2.465)","Iwobi (MID, ~) ==> (2.5, 2.111)","Andreas (MID, ~) ==> (2.0, 1.66)"
WHU,-3,"Bowen (MID, 2↓) ==> (3.5, 2.916)","Antonio (FWD, ~) ==> (2.0, 1.684)","G.Rodríguez (MID, 2↓) ==> (2.0, 1.684)","L.Paquetá (MID, ~) ==> (2.0, 1.66)","Álvarez (MID, 3↓) ==> (1.0, 0.805)"
IPS,-3,"Phillips (MID, 3↓) ==> (2.0, 1.708)","Hutchinson (MID, 1↑) ==> (2.0, 1.684)","Delap (FWD, ~) ==> (2.0, 1.66)","Morsy (MID, 4↑) ==> (2.0, 1.66)","Szmodics (MID, 2↑) ==> (1.5, 1.257)"
CRY,-3,"Eze (MID, 2↓) ==> (2.0, 1.708)","Mateta (FWD, ~) ==> (2.0, 1.66)","Nketiah (FWD, 1↑) ==> (1.5, 1.257)","I.Sarr (MID, 1↑) ==> (1.0, 0.854)","Hughes (MID, ~) ==> (1.0, 0.805)"
NEW,-7,"Barnes (MID, 1↓) ==> (2.5, 1.965)","Gordon (MID, 4↑) ==> (2.0, 1.595)","Joelinton (MID, 1↑) ==> (2.0, 1.595)","Bruno G. (MID, 1↑) ==> (2.0, 1.595)","Isak (FWD, 5↑) ==> (2.0, 1.481)"
