team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
TOT,7,"Maddison (MID, 2↑) ==> (4.5, 4.07)","Johnson (MID, 4↑) ==> (3.5, 3.216)","Son (MID, 2↑) ==> (2.5, 2.419)","Solanke (FWD, 6↑) ==> (2.0, 1.935)","Kulusevski (MID, 3↑) ==> (2.0, 1.822)"
NFO,5,"Wood (FWD, ~) ==> (7.5, 6.527)","Sels (GKP, 3↑) ==> (4.0, 3.579)","Milenković (DEF, 3↑) ==> (3.5, 3.192)","Hudson-Odoi (MID, 5↑) ==> (3.0, 2.643)","Aina (DEF, 6↑) ==> (2.0, 1.83)"
LIV,4,"M.Salah (MID, ~) ==> (10.0, 8.736)","Virgil (DEF, ~) ==> (5.5, 4.795)","Alexander-Arnold (DEF, 3↓) ==> (4.0, 3.611)","Gravenberch (MID, ~) ==> (2.5, 2.168)","Jones (MID, 3↑) ==> (1.0, 0.919)"
FUL,3,"Raúl (FWD, 2↓) ==> (3.5, 3.111)","Smith Rowe (MID, ~) ==> (3.0, 2.66)","Adama (MID, 1↑) ==> (3.0, 2.611)","Leno (GKP, ~) ==> (3.0, 2.611)","Iwobi (MID, ~) ==> (2.5, 2.16)"
EVE,3,"Young (DEF, 2↓) ==> (3.5, 3.111)","Ndiaye (FWD, ~) ==> (2.0, 1.757)","Harrison (MID, ~) ==> (2.0, 1.757)","A.Doucoure (MID, 2↓) ==> (2.0, 1.757)","McNeil (MID, ~) ==> (2.0, 1.708)"
BOU,2,"Semenyo (MID, 5↑) ==> (3.5, 3.07)","Tavernier (MID, ~) ==> (2.5, 2.151)","Evanilson (FWD, 4↑) ==> (2.0, 1.773)","Cook (MID, ~) ==> (2.0, 1.741)","Kerkez (DEF, 5↑) ==> (2.0, 1.741)"
MCI,1,"Haaland (FWD, 4↓) ==> (6.5, 5.625)","Gvardiol (DEF, 4↑) ==> (4.5, 3.9)","Lewis (DEF, ~) ==> (2.0, 1.733)","Bernardo (MID, ~) ==> (2.0, 1.724)","Ederson M. (GKP, ~) ==> (2.0, 1.724)"
CHE,1,"Palmer (MID, 2↓) ==> (6.0, 5.181)","N.Jackson (FWD, 4↓) ==> (5.5, 4.754)","Madueke (MID, ~) ==> (2.5, 2.151)","Sánchez (GKP, 1↑) ==> (2.0, 1.724)","Caicedo (MID, 5↑) ==> (2.0, 1.724)"
MUN,1,"B.Fernandes (MID, 5↑) ==> (3.0, 2.579)","Onana (GKP, ~) ==> (2.5, 2.16)","Mazraoui (DEF, ~) ==> (2.0, 1.733)","Garnacho (MID, ~) ==> (2.0, 1.716)","Rashford (MID, ~) ==> (2.0, 1.716)"
SOU,1,"Ramsdale (GKP, 5↑) ==> (2.0, 1.724)","Downes (MID, 1↑) ==> (2.0, 1.716)","Sugawara (DEF, 3↑) ==> (1.5, 1.297)","Walker-Peters (DEF, 5↑) ==> (1.5, 1.297)","Harwood-Bellis (DEF, 4↑) ==> (1.5, 1.289)"
BHA,-1,"Welbeck (FWD, ~) ==> (6.5, 5.511)","Mitoma (MID, ~) ==> (2.5, 2.119)","Georginio (MID, ~) ==> (2.5, 2.103)","Hinshelwood (MID, ~) ==> (2.0, 1.708)","Baleba (MID, 2↓) ==> (2.0, 1.692)"
ARS,-1,"Saka (MID, 3↓) ==> (6.0, 5.076)","Martinelli (MID, ~) ==> (3.0, 2.538)","Havertz (FWD, ~) ==> (2.0, 1.7)","Thomas (MID, ~) ==> (2.0, 1.7)","Rice (MID, ~) ==> (2.0, 1.7)"
LEI,-1,"Vardy (FWD, 3↑) ==> (3.5, 2.949)","Buonanotte (MID, 2↓) ==> (3.0, 2.522)","Hermansen (GKP, ~) ==> (2.5, 2.127)","Ndidi (MID, ~) ==> (2.0, 1.708)","Winks (MID, ~) ==> (2.0, 1.708)"
WOL,-1,"Cunha (FWD, 4↑) ==> (4.0, 3.384)","Strand Larsen (FWD, 4↑) ==> (3.5, 2.957)","Mario Jr. (MID, ~) ==> (2.0, 1.7)","J.Gomes (MID, 5↑) ==> (2.0, 1.7)","Bellegarde (MID, ~) ==> (1.5, 1.265)"
BRE,-2,"Mbeumo (MID, 3↓) ==> (8.0, 6.654)","Flekken (GKP, 1↑) ==> (3.0, 2.53)","Damsgaard (MID, 1↑) ==> (2.5, 2.119)","Janelt (MID, 5↑) ==> (2.0, 1.708)","Lewis-Potter (MID, 1↑) ==> (2.0, 1.676)"
CRY,-3,"Henderson (GKP, ~) ==> (2.5, 2.062)","Eze (MID, 2↓) ==> (2.0, 1.708)","Mateta (FWD, ~) ==> (2.0, 1.66)","Guéhi (DEF, 4↑) ==> (2.0, 1.635)","Lacroix (DEF, ~) ==> (1.5, 1.208)"
WHU,-3,"Bowen (MID, 2↓) ==> (3.5, 2.916)","Antonio (FWD, ~) ==> (2.0, 1.684)","G.Rodríguez (MID, 2↓) ==> (2.0, 1.684)","L.Paquetá (MID, ~) ==> (2.0, 1.66)","Kilman (DEF, ~) ==> (1.0, 0.805)"
AVL,-4,"Watkins (FWD, 2↓) ==> (3.5, 2.892)","Digne (DEF, 3↓) ==> (3.0, 2.4)","Rogers (MID, 5↑) ==> (2.5, 2.07)","Ramsey (MID, ~) ==> (2.0, 1.676)","Tielemans (MID, ~) ==> (2.0, 1.643)"
NEW,-5,"Pope (GKP, 2↑) ==> (3.0, 2.522)","Gordon (MID, 4↑) ==> (2.0, 1.627)","Hall (DEF, 4↑) ==> (2.0, 1.627)","Joelinton (MID, 1↑) ==> (2.0, 1.627)","Bruno G. (MID, 1↑) ==> (2.0, 1.627)"
IPS,-7,"Phillips (MID, 3↓) ==> (2.0, 1.708)","Hutchinson (MID, 1↑) ==> (2.0, 1.651)","Delap (FWD, ~) ==> (2.0, 1.595)","Morsy (MID, 4↑) ==> (2.0, 1.595)","Muric (GKP, ~) ==> (2.0, 1.595)"
