id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,med_form,MedAbsDev(form),avg_form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw11Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
32,Matty,Cash,DEF,AVL,~,"Cash (DEF, ~)",13,6,4,1.0,0.0,1.3333333333333333,0.4444444444444444,0.4714045207910317,1.0,1.0,1.3,1.2200000000000002,1.7349351572897473,1.5,0.5,2.1666666666666665,1.2777777777777775,1.7716909687891083,-4,0.7892583956939889,-6,0.756836610416141,0,0.0,0.77304750306,1,0,0,0,?
29,Ross,Barkley,MID,AVL,~,"Barkley (MID, ~)",15,8,2,1.0,1.0,2.0,2.0,2.160246899469287,1.0,1.0,1.5,1.3,1.6278820596099706,1.0,0.5,1.875,1.34375,1.6153559979150107,-4,0.7892583956939889,0,0.0,-3,0.8054692883329128,0.79736384201,1,0,0,0,?
28,Leon,Bailey,MID,AVL,~,"Bailey (MID, ~)",19,9,1,1.0,0.0,2.0,1.3333333333333333,1.4142135623730951,1.0,0.5,1.9,1.28,1.5132745950421556,1.0,0.0,2.111111111111111,1.259259259259259,1.4487116456005888,-4,0.8216801809718367,0,0.0,-3,0.8297856272912987,0.82573290413,1,0,0,0,?
38,Jhon,Durán,FWD,AVL,~,"Duran (FWD, ~)",30,10,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.4,2.4899799195977463,1.0,0.0,3.0,2.4,2.4899799195977463,-4,0.8541019662496846,0,0.0,-3,0.8541019662496846,0.85410196625,1,0,0,0,?
42,Boubacar,Kamara,MID,AVL,~,"Kamara (MID, ~)",2,2,8,1.0,0.0,0.6666666666666666,0.4444444444444445,0.4714045207910317,0.0,0.0,0.2,0.32,0.4000000000000001,1.0,0.0,1.0,0.0,0.0,-4,0.0,0,0.0,-3,0.0,0.0,1,0,0,0,?
44,Ezri,Konsa Ngoyo,DEF,AVL,~,"Konsa (DEF, ~)",19,9,1,0.0,0.0,0.6666666666666666,0.8888888888888888,0.9428090415820634,1.0,1.0,1.9,1.48,2.467792535850613,1.0,1.0,2.111111111111111,1.5308641975308641,2.514157444218836,-4,0.7892583956939889,-6,0.756836610416141,0,0.0,0.77304750306,1,0,0,0,?
45,Ian,Maatsen,DEF,AVL,~,"Maatsen (DEF, ~)",8,8,2,0.0,0.0,0.3333333333333333,0.4444444444444444,0.4714045207910317,1.0,0.0,0.8,0.31999999999999995,0.4,1.0,0.0,1.0,0.0,0.0,-4,0.8541019662496846,-6,0.8541019662496846,0,0.0,0.85410196625,1,0,0,0,?
35,Diego Carlos,Santos Silva,DEF,AVL,~,"Diego Carlos (DEF, ~)",11,5,5,0.0,0.0,0.6666666666666666,0.8888888888888888,0.9428090415820634,0.0,0.0,1.1,1.34,1.8138357147217055,2.0,1.0,2.2,1.52,2.039607805437114,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
569,Jaden,Philogene,MID,AVL,~,"Jaden (MID, ~)",4,6,4,0.0,1.0,-0.3333333333333333,1.111111111111111,1.247219128924647,0.0,0.5,0.4,0.8800000000000001,1.2000000000000002,1.0,0.5,0.6666666666666666,1.1111111111111112,1.4907119849998598,-4,-0.032421785277847864,0,0.0,-3,-0.0243163389583859,-0.02836906212,1,0,0,0,?
31,Emiliano,Buendía Stati,MID,AVL,~,"Buendia (MID, ~)",4,4,6,0.0,0.0,0.3333333333333333,0.4444444444444444,0.4714045207910317,0.0,0.0,0.4,0.4800000000000001,0.48989794855663565,1.0,0.0,1.0,0.0,0.0,-4,0.0,0,0.0,-3,0.0,0.0,1,0,0,0,?
