fpl_rank,fpl_tier,team,fpl_xPts,avg_GD/match,fpl_potential,fplAdv_nxtGWs
3,2,TOT,45.92705098312484,1.1,1.1799851618574677,7
2,1,NFO,52.48599177925168,0.7,1.6189299911167754,5
1,1,LIV,51.28165544924859,1.3,1.7998252709185114,4
10,5,FUL,38.842956348249515,0.1,-0.005268162353554949,3
14,7,EVE,37.78993846450061,-0.7,-0.504921968459212,3
7,4,BOU,43.14353793087622,0.1,0.4127884376024291,2
4,2,MCI,45.86524758424986,1.0,1.1243159635835254,1
6,3,CHE,39.72914006537374,0.8,0.4285064762370664,1
13,7,MUN,38.65011573962444,-0.3,-0.22265939449965055,1
17,9,SOU,33.321517715501074,-1.2,-1.1876007594774012,1
5,3,BHA,44.88010840825008,0.3,0.680921932385444,-1
8,4,ARS,37.31373720012313,0.6,0.09438414841816894,-1
16,8,LEI,33.91590536512467,-0.4,-0.7325300853626326,-1
20,10,WOL,31.971633455125513,-1.3,-1.3684834190089463,-1
12,6,BRE,39.30901699437495,-0.1,-0.0592853892011307,-2
15,8,CRY,35.8591722753757,-0.5,-0.5932877675936763,-3
19,10,WHU,28.54744507474883,-0.6,-1.353717109640015,-3
9,5,AVL,38.77743774337447,0.2,0.03802415084540018,-4
11,6,NEW,39.29044096437467,0.0,-0.01142982034282758,-5
18,9,IPS,31.25835921350013,-1.1,-1.3384976570295606,-7
