att_rank,att_tier,team,att_xPts,avg_GF/match,att_potential,attAdv_nxtGWs
1,1,TOT,32.83316583337531,2.2,1.7319948510333845,8
2,1,LIV,31.61060357674978,1.9,1.3116532262320102,6
10,5,BOU,27.462345440125375,1.3,0.2410414310977466,4
3,2,CHE,29.13711251862424,2.0,1.0628211921942008,3
4,2,BRE,29.00371520600006,1.9,0.9597148678666462,2
11,6,ARS,24.020936132874372,1.7,0.11682907154810167,2
14,7,MUN,23.848026657375534,0.9,-0.5872923133258525,1
18,9,EVE,21.243498389499905,1.0,-0.8538147943475944,1
5,3,MCI,25.51164811787423,2.1,0.6584690324570558,0
20,10,SOU,15.941911807125065,0.7,-1.824837890977771,0
6,3,BHA,28.020936132874372,1.7,0.6568420039186219,-1
8,4,NFO,27.29179606750063,1.4,0.30311397022189074,-1
13,7,WOL,22.960487837125346,1.4,-0.2816266444057336,-1
12,6,LEI,24.57109141387513,1.4,-0.06418995431381608,-2
7,4,AVL,25.857817172249742,1.7,0.36481395066674566,-3
9,5,FUL,27.23606797749979,1.4,0.29559049789396696,-3
16,8,WHU,20.14454293062435,1.3,-0.7468855668233618,-3
17,9,IPS,21.39311162925027,1.0,-0.8336165232622942,-3
19,10,CRY,15.690983005625053,0.8,-1.7736168346296872,-3
15,8,NEW,22.108745973749755,1.0,-0.7370035730418996,-7
