att_rank,def_rank,(def-att)_rank,team,att_xPts,def_xPts,(att-def)_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
15,5,-10,NEW,22.108745973749755,17.181694990624912,4.927050983124843,-7,1,-8,1,-8.0,0,3
8,1,-7,NFO,27.29179606750063,25.255999110626036,2.035796956874595,-1,7,-8,1,-8.0,0,3
19,4,-15,CRY,15.690983005625053,20.168189269750652,-4.4772062641255985,-3,3,-6,1,-6.0,0,3
9,14,5,FUL,27.23606797749979,11.668691769624715,15.567376207875075,-3,3,-6,1,-6.0,0,3
18,10,-8,EVE,21.243498389499905,16.546440075000703,4.697058314499202,1,3,-2,1,-2.0,0,3
16,19,3,WHU,20.14454293062435,8.402902144124479,11.741640786499872,-3,-1,-2,1,-2.0,1,2
20,12,-8,SOU,15.941911807125065,17.37960590837601,-1.4376941012509459,0,1,-1,1,-1.0,1,2
14,8,-6,MUN,23.848026657375534,14.802089082248902,9.045937575126633,1,2,-1,1,-1.0,1,2
5,3,-2,MCI,25.51164811787423,20.35359946637562,5.158048651498611,0,1,-1,1,-1.0,1,2
6,6,0,BHA,28.020936132874372,16.859172275375705,11.161763857498666,-1,0,-1,1,-1.0,1,2
12,16,4,LEI,24.57109141387513,9.530224147874513,15.040867266000618,-2,-1,-1,1,-1.0,2,1
13,20,7,WOL,22.960487837125346,9.011145618000167,13.949342219125178,-1,0,-1,1,-1.0,2,1
2,2,0,LIV,31.61060357674978,19.671051872498808,11.939551704250974,6,3,3,1,3.0,2,1
7,13,6,AVL,25.857817172249742,12.91962057112473,12.938196601125012,-3,-6,3,1,3.0,2,1
11,9,-2,ARS,24.020936132874372,13.725424859373685,10.295511273500686,2,-3,5,1,5.0,2,1
17,18,1,IPS,21.39311162925027,9.865247584249854,11.527864045000417,-3,-8,5,1,5.0,3,0
1,11,10,TOT,32.83316583337531,13.093885149749532,19.73928068362578,8,3,5,1,5.0,3,0
3,15,12,CHE,29.13711251862424,10.592027546749502,18.545084971874736,3,-2,5,1,5.0,3,0
10,7,-3,BOU,27.462345440125375,15.681192490750846,11.78115294937453,4,-2,6,1,6.0,3,0
4,17,13,BRE,29.00371520600006,10.30530178837489,18.69841341762517,2,-4,6,1,6.0,3,0
