att_rank,def_rank,(def-att)_rank,team,att_xPts,def_xPts,(att-def)_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
15,6,-9,EVE,22.27468177277,20.20016438848,2.0745173842899973,1,7,-6,1,-6.0,0,3
19,17,-2,SOU,16.23460624223,11.24462512486,4.98998111737,-7,-1,-6,1,-6.0,0,3
20,4,-16,CRY,15.61803398875,19.24316338958,-3.6251294008300015,0,5,-5,1,-5.0,0,3
14,20,6,WOL,21.42057980653,9.54790181028,11.87267799625,-5,0,-5,1,-5.0,0,3
18,8,-10,NEW,20.81548817097,16.31329556806,4.50219260291,-4,0,-4,1,-4.0,0,3
7,10,3,ARS,28.17595468167,14.30912362652,13.86683105515,0,4,-4,1,-4.0,1,2
13,2,-11,NFO,24.24462512486,20.41056092389,3.8340642009700012,2,3,-1,1,-1.0,1,2
8,18,10,WHU,27.45773186653,9.13880262167,18.31892924486,-3,-2,-1,1,-1.0,1,2
12,11,-1,BOU,25.80400755306,13.77248916986,12.0315183832,-4,-4,0,1,0.0,1,2
3,3,0,MCI,28.90273464417,20.51784516236,8.38488948181,4,4,0,1,0.0,1,2
9,5,-4,AVL,25.35483283389,18.38906142333,6.965771410560002,1,0,1,1,1.0,2,1
4,1,-3,LIV,30.81548817097,23.27614350806,7.5393446629100005,3,2,1,1,1.0,2,1
5,9,4,BHA,31.41202265917,15.80254581778,15.609476841389998,-2,-3,1,1,1.0,2,1
6,12,6,TOT,29.80400755306,12.85556370152,16.94844385154,0,-1,1,1,1.0,2,1
16,7,-9,MUN,23.20454959431,17.25756747806,5.946982116249998,-1,-3,2,1,2.0,2,1
1,13,12,CHE,30.52223036819,10.75683661042,19.76539375777,3,1,2,1,2.0,3,0
17,19,2,IPS,21.61657225348,7.30620015597,14.310372097510001,-1,-4,3,1,3.0,3,0
11,15,4,LEI,25.02859491264,12.80254581778,12.226049094859999,4,1,3,1,3.0,3,0
10,14,4,FUL,27.48069310236,10.36485171652,17.11584138584,3,-6,9,1,9.0,3,0
2,16,14,BRE,30.89981117361,12.34189048069,18.55792069292,6,-3,9,1,9.0,3,0
