avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
1,1,LIV,1.25,1.0,1.908419783771154,6.25
6,3,BHA,7.0,3.75,0.30722762185514324,5.75
7,4,NFO,8.0,4.0,0.2974259031635479,5.0
4,2,CHE,5.75,3.0,0.39821168325251777,4.5
10,5,BRE,10.5,5.25,0.0021175275141460843,4.25
3,2,ARS,4.25,2.5,0.8377610323712913,3.75
9,5,NEW,9.75,5.25,0.1021778602532622,3.0
2,1,TOT,2.75,1.5,1.5291837552449696,2.75
5,3,MUN,6.75,3.75,0.3524236769590865,2.5
11,6,WOL,10.75,5.75,-0.013347638261287598,0.75
14,7,BOU,12.5,6.5,-0.3127045545518635,-0.75
13,7,EVE,12.25,6.25,-0.25936720194717444,-2.5
8,4,FUL,8.0,4.25,0.24737688628965945,-2.75
17,9,CRY,16.0,8.25,-0.9000334084592516,-3.0
12,6,WHU,12.0,6.25,-0.12129016743794616,-3.75
19,10,LEI,18.25,9.5,-1.153898640167634,-4.25
16,8,AVL,14.75,7.5,-0.5370745814506821,-4.5
18,9,IPS,17.25,9.0,-0.9378086513747685,-5.0
20,10,SOU,18.75,9.5,-1.4008476275210777,-5.75
15,8,MCI,13.5,7.25,-0.3459532594946373,-6.25
