fpl_rank,fpl_tier,team,fpl_xPts,avg_GD/match,fpl_potential,fplAdv_nxtGWs
1,1,LIV,55.417762968124705,1.33333333333,2.1592541757612715,7
6,3,BHA,41.75970676489314,0.41666666667,0.3776566665727659,7
4,2,CHE,40.88989892312428,0.75,0.4868035226599694,6
8,4,NFO,42.412022659168656,0.16666666667,0.29579283363391945,5
10,5,BRE,40.663796512187616,0.0,0.03971295128951239,5
3,2,ARS,45.6180339887499,0.75,0.9232180755740056,4
5,3,MUN,44.40054204125039,0.0,0.3846206383160197,4
9,5,NEW,41.424858380206715,0.0,0.1099601989371446,4
2,1,TOT,52.128677106876,1.16666666667,1.760950436870059,3
11,6,WOL,44.685082748439825,-0.66666666667,0.032021140354975774,1
13,7,BOU,37.13019215823115,-0.08333333333,-0.3338023585050647,-1
7,4,FUL,43.449174719169214,0.0,0.29680788788067497,-3
12,6,WHU,40.41624791676956,-0.33333333333,-0.1725677203951672,-4
14,7,EVE,40.04002221448167,-0.58333333333,-0.3493676147629087,-4
18,9,CRY,32.26038431645612,-0.58333333333,-1.0674408398239392,-4
17,9,IPS,33.9856492276068,-0.83333333333,-1.0502697342446001,-5
19,10,LEI,30.326237921249263,-0.66666666667,-1.2933235798488443,-5
16,8,AVL,33.85274686312372,0.0,-0.5889580037971017,-6
15,8,MCI,33.36354992947901,0.41666666667,-0.3973222586652665,-7
20,10,SOU,30.446304564688106,-1.25,-1.6137464177950656,-7
