id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,med_form,MedAbsDev(form),avg_form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw13Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
13,Martin,Ødegaard,MID,ARS,4↑,"Ødegaard (MID, 4↑)",20,5,7,6.0,1.0,4.333333333333333,2.8888888888888893,3.0912061651652345,0.0,0.0,1.6666666666666667,1.9444444444444449,2.392116682401221,3.0,1.0,4.0,2.0,2.0976176963403037,4,0.0,0,0.0,0,0.0,0.0,1,8,8,8.0,5↑
15,David,Raya Martin,GKP,ARS,4↑,"Raya (GKP, 4↑)",48,12,0,3.0,1.0,3.6666666666666665,1.5555555555555554,1.699673171197595,2.5,1.5,4.0,2.833333333333333,3.265986323710904,2.5,1.5,4.0,2.833333333333333,3.265986323710904,4,2.232520271457755,7,2.3054692883329126,0,0.0,2.2689947799,1,2,2,-0.26899477989999987,~
17,Bukayo,Saka,MID,ARS,5↑,"Saka (MID, 5↑)",80,11,1,2.0,0.0,5.666666666666667,4.888888888888889,5.185449728701348,6.0,3.5,6.666666666666667,3.9444444444444446,4.749268949591669,6.0,3.0,7.272727272727272,3.801652892561984,4.494257125203008,4,5.351564294443042,0,0.0,0,5.124611797498107,5.23808804597,1,18,18,12.761911954030001,6↑
9,Gabriel,Martinelli Silva,MID,ARS,2↓,"Martinelli (MID, 2↓)",47,11,1,2.0,2.0,3.333333333333333,3.111111111111111,3.39934634239519,3.0,2.0,3.9166666666666665,2.7222222222222228,3.499007795869503,3.0,2.0,4.2727272727272725,2.7107438016528924,3.440161441531727,4,2.691993039860445,0,0.0,0,2.5623058987490537,2.6271494693,1,0,0,-2.6271494693,3↓
6,Jurriën,Timber,DEF,ARS,4↑,"J.Timber (DEF, 4↑)",30,10,2,2.0,1.0,3.0,2.0,2.160246899469287,2.0,1.5,2.5,1.8333333333333333,2.101586702153082,2.0,1.0,3.0,1.8,1.949358868961793,4,1.8054692883329129,7,1.8784183052080703,0,0.0,1.84194379677,1,1,1,-0.8419437967700001,~
23,Leandro,Trossard,MID,ARS,1↑,"Trossard (MID, 1↑)",34,12,0,2.0,1.0,2.0,0.6666666666666666,0.816496580927726,2.0,1.0,2.833333333333333,2.305555555555556,3.4115815817431203,2.0,1.0,2.833333333333333,2.305555555555556,3.4115815817431203,4,1.7730475030550648,0,0.0,0,1.7082039324993692,1.74062571778,1,12,12,10.25937428222,5↑
18,William,Saliba,DEF,ARS,4↑,"Saliba (DEF, 4↑)",30,11,1,2.0,0.0,3.6666666666666665,2.222222222222222,2.3570226039551585,2.0,2.0,2.5,2.333333333333333,2.8431203515386634,2.0,2.0,2.727272727272727,2.380165289256198,2.8632755905497493,4,1.8378910736107603,7,1.935156429444304,0,0.0,1.88652375153,1,1,1,-0.88652375153,~
3,Gabriel,dos Santos Magalhães,DEF,ARS,4↑,"Gabriel (DEF, 4↑)",51,12,0,2.0,0.0,3.333333333333333,1.777777777777778,1.8856180831641267,2.0,1.0,4.25,3.125,3.918439315169582,2.0,1.0,4.25,3.125,3.918439315169582,4,1.7730475030550648,7,1.8216801809718368,0,0.0,1.79736384201,1,9,9,7.20263615799,5↑
20,Thomas,Partey,MID,ARS,4↑,"Thomas (MID, 4↑)",39,12,0,2.0,0.0,4.0,2.6666666666666665,2.8284271247461903,2.0,0.5,3.25,2.083333333333333,2.9190466480228325,2.0,0.5,3.25,2.083333333333333,2.9190466480228325,4,1.740625717777217,0,0.0,0,1.7082039324993692,1.72441482514,1,0,0,-1.72441482514,2↓
16,Declan,Rice,MID,ARS,2↓,"Rice (MID, 2↓)",19,10,2,2.0,0.0,1.3333333333333333,0.888888888888889,0.9428090415820634,2.0,0.5,1.5833333333333333,1.2222222222222223,1.6562172428626492,2.0,0.0,1.9,0.96,1.640121946685673,4,1.740625717777217,0,0.0,0,1.7082039324993692,1.72441482514,1,2,2,0.27558517486,~
4,Kai,Havertz,FWD,ARS,2↓,"Havertz (FWD, 2↓)",46,11,1,1.0,0.0,0.6666666666666666,0.4444444444444445,0.4714045207910317,2.0,1.0,3.8333333333333335,3.111111111111111,3.578485092263981,2.0,1.0,4.181818181818182,3.1404958677685944,3.5372866287897677,4,1.7730475030550648,0,0.0,0,1.7082039324993692,1.74062571778,1,6,6,4.25937428222,4↑
24,Benjamin,White,DEF,ARS,~,"White (DEF, ~)",27,9,3,1.0,0.0,0.6666666666666666,0.4444444444444445,0.4714045207910317,1.0,1.0,2.25,2.1666666666666665,2.419538523492996,2.0,2.0,3.0,2.2222222222222223,2.3570226039551585,4,0.9189455368053804,7,0.967578214722152,0,0.0,0.94326187576,1,0,0,-0.94326187576,~
2,Gabriel,Fernando de Jesus,FWD,ARS,~,"G.Jesus (FWD, ~)",7,10,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5833333333333334,0.4861111111111111,0.4930066485916347,1.0,0.0,0.7,0.42,0.4582575694955839,4,0.8541019662496846,0,0.0,0,0.8541019662496846,0.85410196625,1,1,1,0.14589803375,~
633,Mikel,Merino,MID,ARS,3↑,"Merino (MID, 3↑)",16,6,6,1.0,0.0,1.6666666666666667,0.888888888888889,0.9428090415820634,0.5,0.5,1.3333333333333333,1.5,2.211083193570267,1.5,0.5,2.6666666666666665,1.888888888888889,2.4944382578492945,4,0.4594727684026901,0,0.0,0,0.4270509831248423,0.44326187576,1,0,0,-0.44326187576,~
12,Ethan,Nwaneri,MID,ARS,4↑,"Nwaneri (MID, 4↑)",11,6,6,1.0,1.0,2.333333333333333,2.4444444444444446,2.6246692913372702,0.5,0.5,0.9166666666666666,0.9166666666666664,1.6051133570215186,1.0,0.0,1.8333333333333333,1.3888888888888886,1.863389981249825,4,0.4594727684026901,0,0.0,0,0.4270509831248423,0.44326187576,1,1,1,0.55673812424,~
25,Oleksandr,Zinchenko,DEF,ARS,~,"Zinchenko (DEF, ~)",9,4,8,1.0,0.0,0.6666666666666666,0.4444444444444445,0.4714045207910317,0.0,0.0,0.75,1.0,1.6393596310755,1.0,0.0,2.25,1.875,2.165063509461097,4,0.0,7,0.0,0,0.0,0.0,1,1,1,1.0,~
