def_rank,def_tier,team,def_xPts,avg_GA/match,def_potential,defAdv_nxtGWs
2,1,NFO,19.639480173231288,1.0833333333333333,1.0782990835967063,7
4,2,ARS,18.31188714885606,1.0,0.9486718314091588,7
5,3,MUN,18.3390736422935,1.0833333333333333,0.8747653806462272,6
8,4,NEW,15.769672331456256,1.0833333333333333,0.47261439885335954,6
1,1,LIV,21.90847495312456,0.6666666666666666,1.824239588420412,5
3,2,EVE,20.87403309937593,1.4166666666666667,0.958879453279173,4
11,6,BHA,12.417762968124704,1.3333333333333333,-0.2864958470310363,4
9,5,CRY,15.723909808018536,1.4166666666666667,0.15280563007248177,2
6,3,TOT,17.530734199481532,1.0833333333333333,0.7482477754825926,1
7,4,WHU,19.071433965520008,1.5833333333333333,0.5204217395268887,0
16,8,BRE,11.945627013125122,1.8333333333333333,-0.8293617555074855,0
12,6,CHE,10.878418305206011,1.1666666666666667,-0.37110394370952504,-1
19,10,IPS,11.403412195731498,1.9166666666666667,-0.9923883040982692,-3
10,5,FUL,14.888383871769133,1.4166666666666667,0.02203291886789227,-4
17,9,WOL,14.286055758544585,2.3333333333333335,-0.9320178567943292,-4
14,7,BOU,11.181694990624912,1.4166666666666667,-0.5581211296482663,-5
15,8,SOU,13.758191713544164,2.0,-0.7019905039046195,-5
13,7,MCI,11.386351217080186,1.4166666666666667,-0.5260892699157997,-6
18,9,AVL,9.610938576667886,1.5833333333333333,-0.9602918776271291,-7
20,10,LEI,8.523638787393343,1.9166666666666667,-1.4431173119131537,-7
