team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
LIV,7,"M.Salah (MID, 3↑) ==> (10.0, 8.938)","Virgil (DEF, 4↓) ==> (5.5, 4.868)","Gravenberch (MID, 2↑) ==> (3.0, 2.619)","Szoboszlai (MID, 5↑) ==> (2.0, 1.822)","Jones (MID, 1↑) ==> (1.5, 1.451)"
BHA,7,"Welbeck (FWD, 3↓) ==> (5.5, 5.095)","Georginio (MID, 3↑) ==> (2.5, 2.362)","Verbruggen (GKP, 1↑) ==> (2.5, 2.362)","Mitoma (MID, 5↑) ==> (2.5, 2.249)","Veltman (DEF, ~) ==> (2.0, 1.822)"
CHE,6,"N.Jackson (FWD, 5↑) ==> (5.5, 5.038)","Palmer (MID, 3↓) ==> (4.5, 4.087)","Madueke (MID, 1↑) ==> (2.5, 2.233)","Sánchez (GKP, ~) ==> (2.0, 1.805)","Enzo (MID, 5↑) ==> (2.0, 1.805)"
NFO,5,"Wood (FWD, 4↓) ==> (7.0, 6.262)","Sels (GKP, ~) ==> (3.0, 2.684)","Hudson-Odoi (MID, ~) ==> (2.5, 2.176)","Aina (DEF, 2↓) ==> (2.0, 1.83)","Murillo (DEF, ~) ==> (2.0, 1.789)"
BRE,5,"Mbeumo (MID, 3↓) ==> (6.5, 5.835)","Damsgaard (MID, ~) ==> (3.0, 2.643)","Flekken (GKP, 4↑) ==> (3.0, 2.643)","Janelt (MID, 1↑) ==> (2.5, 2.176)","Wissa (FWD, ~) ==> (2.0, 1.87)"
ARS,4,"Saka (MID, 5↑) ==> (6.0, 5.352)","Martinelli (MID, 2↓) ==> (3.0, 2.692)","Raya (GKP, 4↑) ==> (2.5, 2.233)","Saliba (DEF, 4↑) ==> (2.0, 1.838)","J.Timber (DEF, 4↑) ==> (2.0, 1.805)"
MUN,4,"Onana (GKP, ~) ==> (3.0, 2.692)","B.Fernandes (MID, ~) ==> (3.0, 2.627)","Amad (MID, 5↑) ==> (2.0, 1.838)","Mazraoui (DEF, ~) ==> (2.0, 1.805)","Rashford (MID, 4↑) ==> (2.0, 1.773)"
NEW,4,"Pope (GKP, ~) ==> (3.0, 2.627)","Isak (FWD, ~) ==> (2.0, 1.838)","Joelinton (MID, ~) ==> (2.0, 1.773)","Hall (DEF, ~) ==> (2.0, 1.773)","Gordon (MID, ~) ==> (2.0, 1.741)"
TOT,3,"Maddison (MID, 6↑) ==> (4.5, 3.965)","Johnson (MID, 3↑) ==> (3.5, 3.087)","Son (MID, 4↑) ==> (2.5, 2.257)","Solanke (FWD, 3↑) ==> (2.0, 1.805)","Pedro Porro (DEF, 6↑) ==> (2.0, 1.757)"
WOL,1,"Cunha (FWD, 6↑) ==> (6.0, 5.189)","Strand Larsen (FWD, 3↑) ==> (3.5, 3.014)","Mario Jr. (MID, 4↑) ==> (2.0, 1.724)","J.Gomes (MID, 5↑) ==> (2.0, 1.724)","Aït-Nouri (DEF, 1↑) ==> (1.5, 1.297)"
