att_rank,def_rank,(def-att)_rank,team,att_xPts,def_xPts,(att-def)_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
18,3,-15,EVE,19.165989115105745,20.87403309937593,-1.7080439842701836,-6,4,-10,1,-10.0,0,3
12,5,-7,MUN,26.061468398956887,18.3390736422935,7.7223947566633875,-4,6,-10,1,-10.0,0,3
19,9,-10,CRY,16.53647450843758,15.723909808018536,0.8125647004190419,-6,2,-8,1,-8.0,0,3
13,8,-5,NEW,25.655186048750455,15.769672331456256,9.885513717294199,-2,6,-8,1,-8.0,0,3
17,7,-10,WHU,21.344813951249545,19.071433965520008,2.2733799857295374,-7,0,-7,1,-7.0,0,3
7,4,-3,ARS,27.66666666666873,18.31188714885606,9.35477951781267,0,7,-7,1,-7.0,1,2
14,2,-12,NFO,22.82404531833113,19.639480173231288,3.1845651450998425,3,7,-4,1,-4.0,1,2
16,19,3,IPS,22.582237031875298,11.403412195731498,11.1788248361438,-7,-3,-4,1,-4.0,1,2
20,15,-5,SOU,16.688112851143938,13.758191713544164,2.9299211375997736,-4,-5,1,1,1.0,1,2
2,1,-1,LIV,33.50928801500014,21.90847495312456,11.600813061875577,6,5,1,1,1.0,1,2
11,13,2,MCI,21.977198712392646,11.386351217080186,10.59084749531246,-5,-6,1,1,1.0,2,1
5,11,6,BHA,29.341943796768433,12.417762968124704,16.924180828643728,5,4,1,1,1.0,2,1
8,10,2,FUL,28.61229367979385,14.888383871769133,13.723909808024718,-1,-4,3,1,3.0,2,1
1,6,5,TOT,34.59794290739447,17.530734199481532,17.067208707912936,4,1,3,1,3.0,2,1
15,20,5,LEI,21.957107631043392,8.523638787393343,13.433468843650049,0,-7,7,1,7.0,2,1
6,16,10,BRE,28.71816949906249,11.945627013125122,16.772542485937368,7,0,7,1,7.0,3,0
9,18,9,AVL,24.241808286455836,9.610938576667886,14.63086970978795,1,-7,8,1,8.0,3,0
3,12,9,CHE,30.011480617918274,10.878418305206011,19.133062312712262,7,-1,8,1,8.0,3,0
10,14,4,BOU,25.948497167606234,11.181694990624912,14.766802176981322,4,-5,9,1,9.0,3,0
4,17,13,WOL,30.399026989895233,14.286055758544585,16.11297123135065,5,-4,9,1,9.0,3,0
