def_rank,def_tier,team,def_xPts,avg_GA/match,def_potential,defAdv_nxtGWs
1,1,LIV,23.10512213136204,0.54545454545,2.028568695794829,9
3,2,MUN,18.161307039430774,1.09090909091,0.8092243745344312,6
5,3,NEW,16.704123272043766,1.0,0.6592992254269991,6
4,2,CRY,19.29179606750063,1.36363636364,0.7572454093939545,5
2,1,NFO,21.2845483827252,0.90909090909,1.4440666675292637,3
6,3,FUL,16.812412427725626,1.18181818182,0.5247357144220315,3
16,8,AVL,11.31490957602441,1.54545454545,-0.6289980180484861,2
14,7,CHE,11.037608878068454,1.18181818182,-0.3692715329087883,1
9,5,ARS,14.337566266474116,1.09090909091,0.21726450377175816,0
10,5,TOT,12.202539759886943,1.18181818182,-0.1889265840270592,-1
11,6,BHA,12.996376157612286,1.36363636364,-0.21735935006376167,-1
20,10,BRE,8.655642866818349,2.0,-1.4190035132831602,-1
7,4,MCI,16.704123272043766,1.18181818182,0.5079712843985575,-2
15,8,WHU,13.87992568102539,1.72727272727,-0.3832314141802473,-2
18,9,IPS,10.097417628524902,2.0,-1.1957998882783307,-2
8,4,EVE,17.400542041250386,1.54545454545,0.3131291871023514,-3
13,7,BOU,12.071137095681301,1.36363636364,-0.3605971969949392,-4
12,6,SOU,15.250563347044462,1.90909090909,-0.3223685860609649,-5
17,9,WOL,14.86089283295722,2.45454545455,-0.8366779701225543,-6
19,10,LEI,8.68192339965577,1.90909090909,-1.339271008383524,-8
