att_rank,def_rank,(def-att)_rank,team,att_xPts,def_xPts,(att-def)_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
19,4,-15,CRY,14.760308180112496,19.29179606750063,-4.531487887388135,-2,5,-7,1,-7.0,0,3
13,16,3,AVL,22.4798404578429,11.31490957602441,11.16493088181849,-5,2,-7,1,-7.0,0,3
14,3,-11,MUN,25.50158351215682,18.161307039430774,7.340276472726046,2,6,-4,1,-4.0,0,3
20,12,-8,SOU,14.333485606024691,15.250563347044462,-0.9170777410197708,-9,-5,-4,1,-4.0,0,3
12,5,-7,NEW,26.726323144431756,16.704123272043766,10.02219987238799,2,6,-4,1,-4.0,0,3
17,15,-2,WHU,20.768012682955813,13.87992568102539,6.888087001930423,-6,-2,-4,1,-4.0,1,2
2,1,-1,LIV,32.19483525704362,23.10512213136204,9.08971312568158,5,9,-4,1,-4.0,1,2
15,18,3,IPS,23.475302979319398,10.097417628524902,13.377885350794497,-6,-2,-4,1,-4.0,1,2
10,2,-8,NFO,26.078384780456727,21.2845483827252,4.793836397731525,0,3,-3,1,-3.0,1,2
8,9,1,ARS,25.22111578988722,14.337566266474116,10.883549523413105,-3,0,-3,1,-3.0,1,2
7,7,0,MCI,25.04531338090559,16.704123272043766,8.341190108861824,1,-2,3,1,3.0,2,1
5,6,1,FUL,30.838692960569226,16.812412427725626,14.0262805328436,6,3,3,1,3.0,2,1
11,17,6,WOL,25.010871527156958,14.86089283295722,10.149978694199739,-3,-6,3,1,3.0,2,1
3,10,7,TOT,29.24739632272464,12.202539759886943,17.044856562837698,2,-1,3,1,3.0,2,1
18,8,-10,EVE,19.711827774887084,17.400542041250386,2.311285733636698,1,-3,4,1,4.0,2,1
1,20,19,BRE,32.3778853507945,8.655642866818349,23.722242483976153,3,-1,4,1,4.0,3,0
9,13,4,BOU,26.295876727956237,12.071137095681301,14.224739632274936,1,-4,5,1,5.0,3,0
6,11,5,BHA,28.696875587274516,12.996376157612286,15.70049942966223,4,-1,5,1,5.0,3,0
16,19,3,LEI,21.584505771137046,8.68192339965577,12.902582371481277,-1,-8,7,1,7.0,3,0
4,14,10,CHE,29.202539759886943,11.037608878068454,18.16493088181849,8,1,7,1,7.0,3,0
