avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
1,1,LIV,1.25,1.0,1.9764268848531605,8.0
7,4,CHE,8.0,4.25,0.3680623620031339,5.25
3,2,FUL,4.25,2.5,0.7823562696060058,4.75
6,3,NEW,7.25,3.75,0.3980453336023044,4.5
8,4,MUN,8.75,4.75,0.34022415686342566,4.0
2,1,NFO,4.0,2.0,0.8802556975431746,2.75
9,5,BHA,8.25,4.25,0.3240951318111809,1.75
11,6,BRE,10.75,5.75,0.0672395385731495,1.5
5,3,TOT,5.25,2.75,0.5639406622745496,0.75
15,8,AVL,14.25,7.25,-0.49938364935938706,0.25
17,9,CRY,14.25,7.5,-0.7310714616315095,-0.25
4,2,MCI,6.0,3.5,0.5791601792416913,-0.75
14,7,EVE,14.0,7.25,-0.49780656195767364,-1.5
12,6,BOU,11.5,6.0,-0.12920795173621905,-1.75
10,5,ARS,9.25,4.75,0.22935242085730992,-2.75
18,9,IPS,17.25,8.75,-0.9674502384316505,-4.0
16,8,WHU,16.0,8.25,-0.6761496697153346,-4.5
13,7,WOL,13.5,7.25,-0.4617371113115559,-4.75
19,10,LEI,18.25,9.5,-1.1195689486556146,-5.25
20,10,SOU,18.0,9.0,-1.4267830444197767,-8.0
