id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,med_form,MedAbsDev(form),avg_form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw12Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
17,Bukayo,Saka,MID,ARS,3↓,"Saka (MID, 3↓)",67,10,1,2.0,0.0,4.333333333333333,3.1111111111111107,3.299831645537222,6.0,3.0,6.090909090909091,3.5702479338842976,4.5418167261079265,6.0,3.0,6.7,3.44,4.313930922024599,-4,4.93008108583102,0,0.0,-3,4.978713763747792,4.95439742479,1,0,0,0,?
9,Gabriel,Martinelli Silva,MID,ARS,4↑,"Martinelli (MID, 4↑)",47,11,0,2.0,0.0,4.0,2.6666666666666665,2.8284271247461903,3.0,2.0,4.2727272727272725,2.7107438016528924,3.440161441531727,3.0,2.0,4.2727272727272725,2.7107438016528924,3.440161441531727,-4,2.4326187576376626,0,0.0,-3,2.46504054291551,2.44882965028,1,0,0,0,?
15,David,Raya Martin,GKP,ARS,~,"Raya (GKP, ~)",42,11,0,2.0,1.0,1.6666666666666667,1.111111111111111,1.247219128924647,2.0,1.0,3.8181818181818183,2.8595041322314056,3.3525616208337774,2.0,1.0,3.8181818181818183,2.8595041322314056,3.3525616208337774,-4,1.6433603619436734,0,1.7082039324993692,0,0.0,1.67578214722,1,0,0,0,?
18,William,Saliba,DEF,ARS,~,"Saliba (DEF, ~)",23,10,1,2.0,0.0,1.3333333333333333,0.888888888888889,0.9428090415820634,2.0,2.0,2.090909090909091,1.9504132231404954,2.609581835346786,2.0,1.5,2.3,2.0200000000000005,2.6476404589747453,-4,1.5785167913879778,0,1.7082039324993692,0,0.0,1.64336036194,1,0,0,0,?
3,Gabriel,dos Santos Magalhães,DEF,ARS,~,"Gabriel (DEF, ~)",45,11,0,2.0,0.0,1.6666666666666667,0.4444444444444444,0.4714045207910317,2.0,1.0,4.090909090909091,3.206611570247934,4.0554014587628116,2.0,1.0,4.090909090909091,3.206611570247934,4.0554014587628116,-4,1.6433603619436734,0,1.7082039324993692,0,0.0,1.67578214722,1,0,0,0,?
23,Leandro,Trossard,MID,ARS,~,"Trossard (MID, ~)",31,11,0,2.0,0.0,1.6666666666666667,0.4444444444444444,0.4714045207910317,2.0,1.0,2.8181818181818183,2.495867768595042,3.5628941713209867,2.0,1.0,2.8181818181818183,2.495867768595042,3.5628941713209867,-4,1.6433603619436734,0,0.0,-3,1.6595712545825974,1.65146580826,1,0,0,0,?
6,Jurriën,Timber,DEF,ARS,~,"J.Timber (DEF, ~)",24,9,2,2.0,0.0,1.6666666666666667,0.4444444444444444,0.4714045207910317,2.0,1.0,2.1818181818181817,1.5371900826446279,1.8982375470746453,2.0,1.0,2.6666666666666665,1.5555555555555554,1.7638342073763937,-4,1.6433603619436734,0,1.7082039324993692,0,0.0,1.67578214722,1,0,0,0,?
16,Declan,Rice,MID,ARS,~,"Rice (MID, ~)",19,10,1,2.0,0.0,3.0,1.3333333333333333,1.4142135623730951,2.0,0.0,1.7272727272727273,1.1239669421487604,1.656442468935327,2.0,0.0,1.9,0.96,1.6401219466856727,-4,1.7082039324993692,0,0.0,-3,1.7082039324993692,1.7082039325,1,0,0,0,?
20,Thomas,Partey,MID,ARS,~,"Thomas (MID, ~)",31,11,0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.8181818181818183,1.553719008264463,2.6566616720368104,2.0,0.0,2.8181818181818183,1.553719008264463,2.6566616720368104,-4,1.7082039324993692,0,0.0,-3,1.7082039324993692,1.7082039325,1,0,0,0,?
4,Kai,Havertz,FWD,ARS,~,"Havertz (FWD, ~)",46,11,0,1.0,0.0,1.3333333333333333,0.4444444444444444,0.4714045207910317,2.0,1.0,4.181818181818182,3.1404958677685944,3.5372866287897673,2.0,1.0,4.181818181818182,3.1404958677685944,3.5372866287897673,-4,1.6433603619436734,0,0.0,-3,1.6595712545825974,1.65146580826,1,0,0,0,?
