att_rank,att_tier,team,att_avg_xPts,att_med_xPts,avg_GF/match,med_GF/match,att_avg_potential,att_med_potential,attAdv_nxtGWs
2,1,CHE,39.010643118126104,37.96555814625137,2.3333333333333335,2.0,2.066500309818654,1.609527960502152,8
3,2,TOT,30.97188470506255,32.236067977499786,2.066666666666667,2.0,1.1153025228755724,1.2335765369112082,7
5,3,BHA,27.567627457812105,26.708203932499366,1.6666666666666667,2.0,0.30788138263417175,0.8708551959352495,5
11,6,NEW,24.68541019662497,24.618033988749893,1.2666666666666666,1.0,-0.4621763108618762,-0.4548337594511589,4
1,1,LIV,34.23930245455381,35.07294901687516,2.0714285714285716,2.0,1.3558697184713588,1.4197238962557306,2
7,4,MCI,25.47019460202054,23.75328890437411,1.8,2.0,0.3456877931680533,0.676962811324771,2
10,5,BOU,29.13086970979207,27.763932022500214,1.5333333333333334,1.0,0.2318418813344229,-0.2484096607258204,2
4,2,AVL,24.79593002339574,27.66311896062463,1.5333333333333334,2.0,-0.07841842899785734,0.9335137665324669,1
9,5,BRE,31.38002465827107,30.71884705062547,2.066666666666667,1.0,1.1445139162755937,-0.054517276115341906,1
17,9,IPS,20.084345884812357,18.618033988749893,0.9333333333333333,1.0,-1.261293389120213,-0.848535201483303,1
15,8,WOL,24.981088970083675,22.618033988749893,1.5333333333333334,1.0,-0.06516623256378176,-0.5860675734606003,0
6,3,ARS,31.140073974813202,30.246711095625894,1.9333333333333333,2.0,0.9394162872402625,1.1030410913942525,-1
16,8,WHU,24.857482172333697,23.718847050625474,1.3333333333333333,1.0,-0.3558988359758358,-0.5138356251502969,-1
12,6,MUN,27.89480173229228,26.29179606750063,1.2666666666666666,1.0,-0.232473734617955,-0.3450066687809971,-2
14,7,LEI,26.78622325850055,25.100813061875577,1.4,1.0,-0.12389303663928913,-0.42315528990630724,-2
8,4,FUL,25.172574475582792,26.18033988749895,1.4666666666666666,1.0,-0.14542317080945238,-0.3523200785809755,-3
18,9,SOU,16.941828057146054,16.336881039375367,0.7333333333333333,1.0,-1.7680954977108876,-0.9982174024264308,-4
13,7,NFO,23.535629456916574,22.854101966249686,1.2666666666666666,1.0,-0.5444684198473955,-0.5705775229363274,-5
19,10,CRY,18.334939686396332,15.864745084375787,0.9333333333333333,1.0,-1.3865018924202497,-1.0291975034787966,-6
20,10,EVE,21.259757858482153,18.927050983124843,1.0,0.5,-1.0832048622585748,-1.4225276963765572,-9
