team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
ARS,6,"Saka (MID, 4↓) ==> (6.0, 8.667)","Saliba (DEF, 4↑) ==> (2.0, 3.333)","Ødegaard (MID, ~) ==> (2.0, 3.333)","Havertz (FWD, 3↑) ==> (2.0, 2.667)","Raya (GKP, ~) ==> (2.0, 2.667)"
CHE,4,"Palmer (MID, 5↑) ==> (6.0, 7.778)","N.Jackson (FWD, 4↓) ==> (5.0, 6.333)","Madueke (MID, 3↓) ==> (3.0, 3.889)","Enzo (MID, 4↑) ==> (2.0, 2.444)","Caicedo (MID, 3↑) ==> (2.0, 2.444)"
MCI,4,"Haaland (FWD, 3↑) ==> (5.0, 6.333)","Bernardo (MID, 3↑) ==> (2.0, 2.444)","Gündogan (MID, ~) ==> (2.0, 2.0)","Doku (MID, ~) ==> (1.0, 1.444)","De Bruyne (MID, 2↑) ==> (1.0, 1.444)"
BOU,4,"Evanilson (FWD, ~) ==> (2.0, 2.889)","Kluivert (MID, ~) ==> (2.0, 2.444)","Kerkez (DEF, ~) ==> (2.0, 2.444)","Tavernier (MID, ~) ==> (2.0, 2.444)","Zabarnyi (DEF, 2↑) ==> (2.0, 2.444)"
TOT,4,"Maddison (MID, ~) ==> (4.0, 4.889)","Johnson (MID, ~) ==> (4.0, 4.889)","Son (MID, 4↑) ==> (2.0, 2.889)","Solanke (FWD, 3↑) ==> (2.0, 2.889)","Kulusevski (MID, 4↑) ==> (2.0, 2.444)"
LIV,3,"M.Salah (MID, 6↓) ==> (11.0, 11.833)","Alexander-Arnold (DEF, 4↓) ==> (4.0, 5.0)","Gravenberch (MID, 2↓) ==> (2.5, 2.667)","Szoboszlai (MID, 2↓) ==> (2.0, 2.333)","Jones (MID, 2↓) ==> (1.5, 2.0)"
BHA,3,"João Pedro (FWD, ~) ==> (2.0, 2.667)","Mitoma (MID, 1↓) ==> (2.0, 2.333)","Georginio (MID, ~) ==> (2.0, 2.333)","Verbruggen (GKP, 1↓) ==> (2.0, 2.333)","Ayari (MID, 1↑) ==> (2.0, 2.333)"
NEW,1,"Isak (FWD, 4↑) ==> (2.0, 2.222)","Barnes (MID, 4↑) ==> (2.0, 2.111)","Gordon (MID, 1↓) ==> (2.0, 2.111)","Joelinton (MID, 1↓) ==> (2.0, 2.111)","Bruno G. (MID, ~) ==> (2.0, 2.0)"
IPS,1,"Delap (FWD, ~) ==> (2.0, 2.111)","Szmodics (MID, ~) ==> (2.0, 2.111)","Muric (GKP, ~) ==> (2.0, 2.111)","Davis (DEF, ~) ==> (2.0, 2.111)","Morsy (MID, ~) ==> (2.0, 2.0)"
NFO,0,"Wood (FWD, 3↑) ==> (7.0, 7.0)","Sels (GKP, ~) ==> (3.0, 3.0)","Hudson-Odoi (MID, 3↑) ==> (3.0, 3.0)","Milenković (DEF, 4↑) ==> (2.0, 2.0)","Anderson (MID, 3↑) ==> (2.0, 2.0)"
