att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
20,4,-16,EVE,18.927050983124843,20.403252247502312,-1.476201264377469,-9,1,-10,1,-10.0,0,3
6,2,-4,ARS,30.246711095625894,18.437694101250948,11.809016994374947,-1,9,-10,1,-10.0,0,3
13,6,-7,NFO,22.854101966249686,10.854101966249685,12.000000000000002,-5,-1,-4,1,-4.0,0,3
4,3,-1,AVL,27.66311896062463,12.045084971874736,15.618033988749893,1,5,-4,1,-4.0,0,3
19,16,-3,CRY,15.864745084375787,17.336881039375367,-1.4721359549995796,-6,-5,-1,1,-1.0,0,3
8,5,-3,FUL,26.18033988749895,12.190983005625053,13.989356881873896,-3,-2,-1,1,-1.0,1,2
1,1,0,LIV,35.07294901687516,18.72542485937369,16.347524157501468,2,3,-1,1,-1.0,1,2
5,8,3,BHA,26.708203932499366,11.76393202250021,14.944271909999156,5,6,-1,1,-1.0,1,2
12,11,-1,MUN,26.29179606750063,9.618033988749895,16.673762078750734,-2,-2,0,1,0.0,1,2
7,7,0,MCI,23.75328890437411,10.090169943749475,13.663118960624635,2,2,0,1,0.0,1,2
17,15,-2,IPS,18.618033988749893,9.190983005625053,9.42705098312484,1,0,1,1,1.0,2,1
16,14,-2,WHU,23.718847050625474,9.76393202250021,13.954915028125264,-1,-2,1,1,1.0,2,1
10,13,3,BOU,27.763932022500214,10.336881039375367,17.427050983124847,2,1,1,1,1.0,2,1
15,19,4,WOL,22.618033988749893,6.854101966249685,15.763932022500208,0,-1,1,1,1.0,2,1
11,9,-2,NEW,24.618033988749893,9.854101966249685,14.763932022500208,4,2,2,1,2.0,2,1
14,20,6,LEI,25.100813061875577,6.618033988749895,18.482779073125684,-2,-4,2,1,2.0,3,0
18,17,-1,SOU,16.336881039375367,10.045084971874736,6.291796067500631,-4,-7,3,1,3.0,3,0
3,10,7,TOT,32.236067977499786,10.190983005625053,22.045084971874733,7,4,3,1,3.0,3,0
9,18,9,BRE,30.71884705062547,10.76393202250021,19.95491502812526,1,-8,9,1,9.0,3,0
2,12,10,CHE,37.96555814625137,11.100813061875577,26.86474508437579,8,-1,9,1,9.0,3,0
