team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
MUN,7,"Onana (GKP, ~) ==> (3.0, 4.556)","B.Fernandes (MID, ~) ==> (3.0, 3.778)","Amad (MID, 1↓) ==> (2.0, 3.556)","Rashford (MID, ~) ==> (2.0, 2.778)","Mazraoui (DEF, ~) ==> (2.0, 2.778)"
BHA,6,"Welbeck (FWD, 4↓) ==> (3.5, 4.833)","Mitoma (MID, 1↓) ==> (2.5, 3.167)","Verbruggen (GKP, ~) ==> (2.0, 3.0)","Georginio (MID, 1↓) ==> (2.0, 2.667)","João Pedro (FWD, 3↑) ==> (1.5, 2.5)"
CHE,4,"Palmer (MID, 2↓) ==> (6.0, 7.778)","N.Jackson (FWD, 5↓) ==> (5.5, 7.056)","Madueke (MID, 5↑) ==> (3.0, 3.667)","Enzo (MID, 2↑) ==> (2.0, 2.444)","Caicedo (MID, ~) ==> (2.0, 2.222)"
BOU,4,"Kluivert (MID, 1↑) ==> (2.5, 3.167)","Evanilson (FWD, ~) ==> (2.0, 2.889)","Tavernier (MID, 4↑) ==> (2.5, 2.722)","Kerkez (DEF, 4↑) ==> (2.0, 2.444)","Arrizabalaga (GKP, 4↑) ==> (1.5, 2.167)"
ARS,3,"Saka (MID, 3↓) ==> (6.0, 7.167)","Raya (GKP, 3↑) ==> (2.5, 3.0)","Saliba (DEF, 6↑) ==> (2.0, 2.667)","Gabriel (DEF, 2↓) ==> (2.0, 2.5)","J.Timber (DEF, 6↑) ==> (2.0, 2.5)"
AVL,3,"Watkins (FWD, 5↑) ==> (3.5, 4.0)","Digne (DEF, 1↑) ==> (2.0, 2.5)","Rogers (MID, 4↑) ==> (2.0, 2.333)","Tielemans (MID, ~) ==> (2.0, 2.333)","Martinez (GKP, ~) ==> (2.0, 2.333)"
LIV,2,"M.Salah (MID, 4↑) ==> (11.0, 11.556)","Virgil (DEF, 4↓) ==> (5.5, 5.833)","Alexander-Arnold (DEF, 3↑) ==> (4.0, 4.667)","Gravenberch (MID, 2↓) ==> (2.5, 2.611)","Robertson (DEF, 2↓) ==> (2.0, 2.333)"
BRE,2,"Mbeumo (MID, 4↓) ==> (4.0, 4.556)","Damsgaard (MID, 4↑) ==> (3.0, 3.333)","Flekken (GKP, ~) ==> (3.0, 3.222)","Wissa (FWD, 1↓) ==> (2.0, 2.444)","Janelt (MID, ~) ==> (2.0, 2.111)"
WOL,2,"Cunha (FWD, 4↓) ==> (4.0, 4.444)","Strand Larsen (FWD, 3↓) ==> (3.5, 3.833)","Mario Jr. (MID, ~) ==> (2.0, 2.222)","J.Gomes (MID, ~) ==> (2.0, 2.111)","Toti (DEF, ~) ==> (1.0, 1.222)"
CRY,1,"Henderson (GKP, 4↑) ==> (2.5, 2.667)","Mateta (FWD, 4↑) ==> (2.0, 2.111)","Guéhi (DEF, 3↑) ==> (2.0, 2.111)","I.Sarr (MID, ~) ==> (1.5, 1.556)","Hughes (MID, 1↑) ==> (1.0, 1.111)"
