team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
BHA,5.0,3,0,"Welbeck (FWD, 4↓) ==> (3.5, 4.94444)","Mitoma (MID, 1↓) ==> (2.5, 3.22222)","Georginio (MID, 1↓) ==> (2.0, 2.72222)"
MUN,4.75,1,2,"Onana (GKP, ~) ==> (3.0, 4.33333)","B.Fernandes (MID, ~) ==> (3.0, 3.38889)","Mazraoui (DEF, ~) ==> (2.0, 2.66667)"
LIV,3.0,0,3,"Virgil (DEF, 4↓) ==> (5.5, 6.33333)","Alexander-Arnold (DEF, 3↑) ==> (4.0, 5.66667)","Robertson (DEF, 2↓) ==> (2.0, 2.83333)"
AVL,3.0,2,1,"Watkins (FWD, 5↑) ==> (3.5, 4.08333)","Digne (DEF, 1↑) ==> (2.0, 2.41667)","Rogers (MID, 4↑) ==> (2.0, 2.38889)"
CHE,2.75,3,0,"Palmer (MID, 2↓) ==> (6.0, 8.0)","N.Jackson (FWD, 5↓) ==> (5.5, 7.25)","Madueke (MID, 5↑) ==> (3.0, 3.75)"
ARS,2.5,1,2,"Saka (MID, 3↓) ==> (6.0, 6.97222)","Raya (GKP, 3↑) ==> (2.5, 2.91667)","Saliba (DEF, 6↑) ==> (2.0, 2.55556)"
BOU,2.5,1,2,"Kluivert (MID, 1↑) ==> (2.5, 2.91667)","Kerkez (DEF, 4↑) ==> (2.0, 2.27778)","Zabarnyi (DEF, 3↑) ==> (2.0, 2.13889)"
CRY,1.25,0,3,"Henderson (GKP, 4↑) ==> (2.5, 3.08333)","Guéhi (DEF, 3↑) ==> (2.0, 2.38889)","Lacroix (DEF, 4↑) ==> (1.5, 2.08333)"
BRE,1.0,3,0,"Mbeumo (MID, 4↓) ==> (4.0, 4.69444)","Damsgaard (MID, 4↑) ==> (3.0, 3.41667)","Wissa (FWD, 1↓) ==> (2.0, 2.55556)"
WHU,0.25,2,1,"Bowen (MID, 1↓) ==> (2.5, 2.52778)","L.Paquetá (MID, 1↓) ==> (2.0, 2.05556)","Wan-Bissaka (DEF, 1↓) ==> (1.5, 1.5)"
WOL,-0.25,2,1,"Cunha (FWD, 4↓) ==> (4.0, 4.0)","Strand Larsen (FWD, 3↓) ==> (3.5, 3.5)","Aït-Nouri (DEF, 1↓) ==> (1.0, 0.94444)"
NEW,-1.0,2,1,"Pope (GKP, 2↓) ==> (3.0, 2.72222)","Isak (FWD, 5↑) ==> (2.0, 2.11111)","Gordon (MID, 4↑) ==> (2.0, 2.05556)"
MCI,-1.25,0,3,"Gvardiol (DEF, 3↑) ==> (2.0, 2.22222)","Rúben (DEF, 4↑) ==> (1.0, 1.11111)","Walker (DEF, ~) ==> (1.0, 1.11111)"
FUL,-2.5,1,2,"Iwobi (MID, 6↑) ==> (4.0, 3.44444)","Leno (GKP, ~) ==> (2.5, 2.36111)","Bassey (DEF, ~) ==> (2.0, 2.0)"
IPS,-2.5,1,2,"Morsy (MID, ~) ==> (2.0, 2.0)","Davis (DEF, ~) ==> (2.0, 1.72222)","Muric (GKP, ~) ==> (2.0, 1.72222)"
TOT,-2.75,3,0,"Maddison (MID, 3↓) ==> (3.5, 3.27778)","Johnson (MID, 3↓) ==> (3.5, 3.27778)","Kulusevski (MID, ~) ==> (2.0, 1.88889)"
EVE,-3.0,0,3,"Young (DEF, 5↑) ==> (5.0, 4.61111)","Pickford (GKP, 3↑) ==> (2.0, 1.88889)","Tarkowski (DEF, 4↑) ==> (1.5, 1.33333)"
SOU,-3.0,2,1,"M.Fernandes (MID, ~) ==> (2.0, 1.72222)","Aribo (MID, 5↑) ==> (1.5, 1.36111)","Sugawara (DEF, ~) ==> (1.0, 0.61111)"
NFO,-4.75,0,3,"Sels (GKP, 2↓) ==> (3.0, 2.41667)","Aina (DEF, 2↓) ==> (2.0, 1.41667)","Murillo (DEF, 2↓) ==> (2.0, 1.41667)"
LEI,-5.0,3,0,"Vardy (FWD, 3↑) ==> (3.0, 2.22222)","Ndidi (MID, ~) ==> (2.0, 2.0)","J.Ayew (MID, ~) ==> (2.0, 1.61111)"
