avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
9,5,BHA,8.25,4.25,0.05541879862255973,5.0
5,3,MUN,5.5,2.75,0.4507323718207993,4.75
1,1,LIV,1.5,1.0,1.7957988278383863,3.0
15,8,AVL,12.75,6.75,-0.4742346016719447,3.0
3,2,CHE,4.25,2.5,1.2493897446532771,2.75
2,1,ARS,2.0,1.5,1.4699327170072296,2.5
6,3,BOU,11.0,6.0,0.20626800010078264,2.5
16,8,CRY,13.0,6.5,-0.5128978896458959,1.25
8,4,BRE,8.25,4.25,0.11591612115732465,1.0
14,7,WHU,12.25,6.5,-0.38140813468029366,0.25
17,9,WOL,13.25,6.75,-0.7270377568939708,-0.25
13,7,NEW,10.5,5.25,-0.18313370088192493,-1.0
10,5,MCI,15.0,7.75,-0.014431394956693017,-1.25
7,4,FUL,7.0,4.0,0.12611852407204033,-2.5
19,10,IPS,16.25,8.5,-1.1489361177372919,-2.5
4,2,TOT,9.75,5.25,0.8083193601556864,-2.75
11,6,EVE,7.5,4.0,-0.053371599005931566,-3.0
20,10,SOU,19.25,9.75,-1.6914845753868413,-3.0
12,6,NFO,15.0,7.5,-0.15276627825454547,-4.75
18,9,LEI,17.75,9.25,-0.9381924163182038,-5.0
