team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
LIV,18.5,2,1,"M.Salah (MID, ?) ==> (11.0, 49.0)","Virgil (DEF, ?) ==> (5.5, 25.16667)","Luis Díaz (MID, ?) ==> (3.0, 16.0)"
ARS,17.0,0,3,"Raya (GKP, ?) ==> (2.5, 13.58333)","Saliba (DEF, ?) ==> (2.0, 12.77778)","Gabriel (DEF, ?) ==> (2.0, 11.58333)"
MUN,17.0,1,2,"Onana (GKP, ?) ==> (3.0, 15.88889)","B.Fernandes (MID, ?) ==> (3.0, 13.83333)","Mazraoui (DEF, ?) ==> (2.0, 9.94444)"
BHA,9.5,2,1,"Welbeck (FWD, ?) ==> (3.5, 16.66667)","Mitoma (MID, ?) ==> (2.5, 11.33333)","Verbruggen (GKP, ?) ==> (2.0, 9.16667)"
NEW,7.75,2,1,"Pope (GKP, ?) ==> (3.0, 12.66667)","Isak (FWD, ?) ==> (2.0, 10.11111)","Gordon (MID, ?) ==> (2.0, 9.05556)"
CHE,7.5,3,0,"Palmer (MID, ?) ==> (6.0, 29.33333)","N.Jackson (FWD, ?) ==> (5.5, 26.66667)","Madueke (MID, ?) ==> (3.0, 14.0)"
AVL,3.25,2,1,"Watkins (FWD, ?) ==> (3.5, 14.75)","Rogers (MID, ?) ==> (2.0, 8.5)","Digne (DEF, ?) ==> (2.0, 8.33333)"
BRE,2.5,3,0,"Mbeumo (MID, ?) ==> (4.0, 18.77778)","Damsgaard (MID, ?) ==> (3.0, 13.66667)","Wissa (FWD, ?) ==> (2.0, 10.22222)"
WHU,0.75,0,3,"Wan-Bissaka (DEF, ?) ==> (1.5, 6.13889)","Emerson (DEF, ?) ==> (1.0, 4.27778)","Kilman (DEF, ?) ==> (1.0, 4.27778)"
BOU,0.25,1,2,"Tavernier (MID, ?) ==> (2.5, 9.91667)","Kerkez (DEF, ?) ==> (2.0, 8.22222)","Zabarnyi (DEF, ?) ==> (2.0, 8.11111)"
WOL,0.0,3,0,"Cunha (FWD, ?) ==> (4.0, 16.88889)","Strand Larsen (FWD, ?) ==> (3.5, 14.66667)","Mario Jr. (MID, ?) ==> (2.0, 8.44444)"
TOT,-0.25,3,0,"Maddison (MID, ?) ==> (3.5, 14.55556)","Johnson (MID, ?) ==> (3.5, 14.55556)","Son (MID, ?) ==> (2.0, 8.55556)"
FUL,-1.25,2,1,"Iwobi (MID, ?) ==> (4.0, 15.88889)","Smith Rowe (MID, ?) ==> (2.5, 9.91667)","Leno (GKP, ?) ==> (2.5, 9.88889)"
EVE,-3.25,0,3,"Young (DEF, ?) ==> (5.0, 21.55556)","Pickford (GKP, ?) ==> (2.0, 8.44444)","Tarkowski (DEF, ?) ==> (1.5, 6.66667)"
CRY,-6.5,0,3,"Henderson (GKP, ?) ==> (2.5, 10.08333)","Guéhi (DEF, ?) ==> (2.0, 8.05556)","Lacroix (DEF, ?) ==> (1.5, 6.08333)"
MCI,-11.0,0,3,"Gvardiol (DEF, ?) ==> (2.0, 6.55556)","Rúben (DEF, ?) ==> (1.0, 3.27778)","Walker (DEF, ?) ==> (1.0, 3.27778)"
NFO,-11.0,1,2,"Wood (FWD, ?) ==> (7.0, 23.33333)","Sels (GKP, ?) ==> (3.0, 10.33333)","Aina (DEF, ?) ==> (2.0, 6.33333)"
IPS,-14.5,1,2,"Morsy (MID, ?) ==> (2.0, 8.0)","Davis (DEF, ?) ==> (2.0, 6.44444)","Muric (GKP, ?) ==> (2.0, 6.44444)"
SOU,-16.5,1,2,"M.Fernandes (MID, ?) ==> (2.0, 6.11111)","Sugawara (DEF, ?) ==> (1.0, 2.22222)","Walker-Peters (DEF, ?) ==> (1.0, 2.22222)"
LEI,-19.75,3,0,"Vardy (FWD, ?) ==> (3.0, 8.66667)","Ndidi (MID, ?) ==> (2.0, 8.0)","J.Ayew (MID, ?) ==> (2.0, 6.33333)"
