home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-8,0,-2,EVE,LIV,2,8,0
4,2,3,AVL,SOU,-3,-4,-2
3,-3,2,BRE,NEW,-2,-3,3
-3,6,1,CRY,MCI,-1,3,-6
0,5,7,MUN,NFO,-7,0,-5
-2,-2,-3,FUL,ARS,3,2,2
-1,-1,-4,IPS,BOU,4,1,1
-1,-7,-6,LEI,BHA,6,1,7
2,-5,-4,TOT,CHE,4,-2,5
3,2,-2,WHU,WOL,2,-3,-2
-1,7,2,ARS,EVE,-2,1,-7
3,3,3,LIV,FUL,-3,-3,-3
4,2,5,NEW,LEI,-5,-4,-2
2,-1,3,WOL,IPS,-3,-2,1
0,1,-2,NFO,AVL,2,0,-1
-1,4,3,BHA,CRY,-3,1,-4
-5,-3,-6,MCI,MUN,6,5,3
8,-3,1,CHE,BRE,-1,-8,3
-4,-6,-4,SOU,TOT,4,4,6
-3,-1,3,BOU,WHU,-3,3,1
2,0,1,AVL,MCI,-1,-2,0
2,-1,6,BRE,NFO,-6,-2,1
-4,-1,-4,IPS,NEW,4,4,1
-1,0,-4,WHU,BHA,4,1,0
-8,0,-6,CRY,ARS,6,8,0
-4,0,-1,EVE,CHE,1,4,0
5,6,6,FUL,SOU,-6,-5,-6
3,-5,-4,LEI,WOL,4,-3,5
4,3,3,MUN,BOU,-3,-4,-3
-2,-5,-5,TOT,LIV,5,2,5
-7,2,-5,MCI,EVE,5,7,-2
-4,2,2,BOU,CRY,-2,4,-2
3,-1,2,CHE,FUL,-2,-3,1
2,0,2,NEW,AVL,-2,-2,0
-2,-1,-3,NFO,TOT,3,2,1
-7,-2,-2,SOU,WHU,2,7,2
-2,-6,-4,WOL,MUN,4,2,6
9,6,9,LIV,LEI,-9,-9,-6
6,-4,-1,BHA,BRE,1,-6,4
5,7,8,ARS,IPS,-8,-5,-7
