att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
18,2,-16,EVE,18.73606797749979,20.785218258752415,-2.0491502812526257,-21,8,-29,4,-7.25,0,3
20,4,-16,CRY,14.02786404500042,15.26393202250021,-1.2360679774997898,-17,11,-28,4,-7.0,0,3
15,13,-2,MCI,21.18033988749895,9.44427190999916,11.73606797749979,-18,0,-18,4,-4.5,0,3
3,3,0,ARS,31.79179606750063,17.201626123751154,14.590169943749476,6,24,-18,4,-4.5,0,3
14,5,-9,WHU,21.30901699437495,13.656541151876418,7.652475842498532,5,12,-7,4,-1.75,0,3
11,15,4,BOU,25.690983005625053,9.0,16.690983005625053,-9,-2,-7,4,-1.75,1,2
16,8,-8,NFO,20.562305898749052,11.163118960624633,9.39918693812442,-6,-2,-4,4,-1.0,1,2
17,14,-3,IPS,19.76393202250021,9.381966011250105,10.381966011250105,-11,-9,-2,4,-0.5,1,2
8,6,-2,MUN,27.010643118126104,12.600813061875577,14.409830056250527,13,15,-2,4,-0.5,1,2
19,18,-1,SOU,16.954915028125264,8.20820393249937,8.746711095625894,-19,-17,-2,4,-0.5,1,2
1,1,0,LIV,35.07294901687516,22.927050983124843,12.145898033750314,17,19,-2,4,-0.5,2,1
7,7,0,FUL,28.090169943749473,12.572949016875157,15.517220926874316,1,-2,3,4,0.75,2,1
9,16,7,AVL,26.826237921249266,8.97213595499958,17.854101966249686,5,0,5,4,1.25,2,1
12,10,-2,NEW,25.572949016875157,10.427050983124843,15.145898033750314,10,3,7,4,1.75,2,1
5,12,7,BHA,28.73606797749979,10.118033988749895,18.618033988749893,12,2,10,4,2.5,2,1
6,11,5,TOT,28.51722092687432,10.190983005625053,18.326237921249266,7,-4,11,4,2.75,3,0
10,19,9,WOL,25.86474508437579,6.854101966249685,19.010643118126104,3,-13,16,4,4.0,3,0
2,9,7,CHE,33.89260912937621,11.100813061875577,22.791796067500634,16,-2,18,4,4.5,3,0
13,20,7,LEI,23.0,6.47213595499958,16.52786404500042,-6,-25,19,4,4.75,3,0
4,17,13,BRE,29.909830056250527,8.809016994374947,21.10081306187558,12,-18,30,4,7.5,3,0
