team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
LIV,17,"M.Salah (MID, ?) ==> (11.0, 48.722)","Luis Díaz (MID, ?) ==> (3.0, 15.778)","Gravenberch (MID, ?) ==> (2.5, 10.944)","Szoboszlai (MID, ?) ==> (2.0, 9.889)","Jones (MID, ?) ==> (1.5, 8.833)"
CHE,16,"Palmer (MID, ?) ==> (6.0, 31.111)","N.Jackson (FWD, ?) ==> (5.5, 28.222)","Madueke (MID, ?) ==> (3.0, 14.667)","Enzo (MID, ?) ==> (2.0, 9.778)","Sancho (MID, ?) ==> (1.0, 5.778)"
MUN,13,"B.Fernandes (MID, ?) ==> (3.0, 13.444)","Amad (MID, ?) ==> (2.0, 10.889)","Rashford (MID, ?) ==> (2.0, 9.444)","Garnacho (MID, ?) ==> (2.0, 9.444)","Casemiro (MID, ?) ==> (1.0, 5.444)"
BRE,12,"Mbeumo (MID, ?) ==> (4.0, 19.333)","Damsgaard (MID, ?) ==> (3.0, 14.0)","Wissa (FWD, ?) ==> (2.0, 10.667)","Janelt (MID, ?) ==> (2.0, 8.667)","Schade (MID, ?) ==> (1.0, 4.667)"
BHA,12,"Welbeck (FWD, ?) ==> (3.5, 16.667)","Mitoma (MID, ?) ==> (2.5, 11.333)","Georginio (MID, ?) ==> (2.0, 9.333)","João Pedro (FWD, ?) ==> (1.5, 8.0)","Adingra (MID, ?) ==> (1.0, 5.333)"
NEW,10,"Isak (FWD, ?) ==> (2.0, 10.222)","Gordon (MID, ?) ==> (2.0, 9.111)","Barnes (MID, ?) ==> (2.0, 9.111)","Joelinton (MID, ?) ==> (2.0, 9.111)","Bruno G. (MID, ?) ==> (2.0, 8.556)"
TOT,7,"Maddison (MID, ?) ==> (3.5, 15.556)","Johnson (MID, ?) ==> (3.5, 15.556)","Son (MID, ?) ==> (2.0, 9.556)","Kulusevski (MID, ?) ==> (2.0, 8.778)","Werner (MID, ?) ==> (1.0, 4.389)"
ARS,6,"Saka (MID, ?) ==> (6.0, 26.333)","Trossard (MID, ?) ==> (2.0, 8.667)","Thomas (MID, ?) ==> (2.0, 8.667)","Rice (MID, ?) ==> (2.0, 8.333)","Ødegaard (MID, ?) ==> (1.0, 4.667)"
AVL,5,"Watkins (FWD, ?) ==> (3.5, 14.833)","Rogers (MID, ?) ==> (2.0, 8.556)","Tielemans (MID, ?) ==> (2.0, 8.556)","McGinn (MID, ?) ==> (2.0, 8.556)","Bailey (MID, ?) ==> (1.5, 6.278)"
WHU,5,"Bowen (MID, ?) ==> (2.5, 10.278)","L.Paquetá (MID, ?) ==> (2.0, 8.556)","Souček (MID, ?) ==> (1.5, 6.556)","C.Soler (MID, ?) ==> (1.0, 4.556)","Summerville (MID, ?) ==> (1.0, 4.0)"
WOL,3,"Cunha (FWD, ?) ==> (4.0, 16.667)","Strand Larsen (FWD, ?) ==> (3.5, 14.5)","Mario Jr. (MID, ?) ==> (2.0, 8.333)","J.Gomes (MID, ?) ==> (2.0, 8.167)","Guedes (MID, ?) ==> (1.0, 4.0)"
FUL,1,"Iwobi (MID, ?) ==> (4.0, 16.222)","Smith Rowe (MID, ?) ==> (2.5, 10.167)","Raúl (FWD, ?) ==> (2.0, 8.111)","Nelson (MID, ?) ==> (1.5, 6.111)","Wilson (MID, ?) ==> (1.0, 4.111)"
LEI,-6,"Vardy (FWD, ?) ==> (3.0, 10.667)","Buonanotte (MID, ?) ==> (2.5, 8.333)","Ndidi (MID, ?) ==> (2.0, 8.0)","J.Ayew (MID, ?) ==> (2.0, 7.333)","El Khannouss (MID, ?) ==> (1.0, 3.333)"
NFO,-6,"Wood (FWD, ?) ==> (7.0, 25.667)","Hudson-Odoi (MID, ?) ==> (2.5, 9.667)","Elanga (MID, ?) ==> (2.0, 7.333)","Jota Silva (MID, ?) ==> (1.0, 4.0)","Dominguez (MID, ?) ==> (1.0, 3.667)"
BOU,-9,"Tavernier (MID, ?) ==> (2.5, 9.5)","Kluivert (MID, ?) ==> (2.5, 8.5)","Evanilson (FWD, ?) ==> (2.0, 6.0)","Brooks (MID, ?) ==> (0.5, 1.5)","Adams (MID, ?) ==> (0.0, 0.0)"
IPS,-11,"Morsy (MID, ?) ==> (2.0, 8.0)","Delap (FWD, ?) ==> (2.0, 7.389)","Hutchinson (MID, ?) ==> (2.0, 7.389)","Szmodics (MID, ?) ==> (2.0, 6.778)","Cajuste (MID, ?) ==> (0.5, 1.389)"
CRY,-17,"Eze (MID, ?) ==> (2.0, 7.056)","Mateta (FWD, ?) ==> (2.0, 6.111)","I.Sarr (MID, ?) ==> (1.5, 5.056)","Hughes (MID, ?) ==> (1.0, 2.111)","Devenny (MID, ?) ==> (0.0, 0.0)"
MCI,-18,"Haaland (FWD, ?) ==> (5.0, 14.0)","Gündogan (MID, ?) ==> (2.0, 7.0)","Bernardo (MID, ?) ==> (2.0, 6.0)","Sávio (MID, ?) ==> (1.0, 2.0)","Foden (MID, ?) ==> (1.0, 2.0)"
SOU,-19,"M.Fernandes (MID, ?) ==> (2.0, 5.889)","Aribo (MID, ?) ==> (1.5, 4.944)","Archer (FWD, ?) ==> (1.5, 4.944)","Armstrong (FWD, ?) ==> (1.0, 1.889)","Fraser (MID, ?) ==> (0.0, -1.056)"
EVE,-21,"McNeil (MID, ?) ==> (2.0, 6.833)","Gana (MID, ?) ==> (2.0, 6.833)","A.Doucoure (MID, ?) ==> (2.0, 5.667)","Mangala (MID, ?) ==> (1.0, 1.667)","Lindstrøm (MID, ?) ==> (1.0, 1.667)"
