team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
MUN,20,"Onana (GKP, ?) ==> (3.0, 16.444)","B.Fernandes (MID, ?) ==> (3.0, 14.222)","Amad (MID, ?) ==> (2.0, 12.444)","Rashford (MID, ?) ==> (2.0, 10.222)","Mazraoui (DEF, ?) ==> (2.0, 10.222)"
ARS,19,"Saka (MID, ?) ==> (6.0, 31.389)","Raya (GKP, ?) ==> (2.5, 13.167)","Saliba (DEF, ?) ==> (2.0, 12.222)","Gabriel (DEF, ?) ==> (2.0, 11.167)","J.Timber (DEF, ?) ==> (2.0, 11.167)"
LIV,19,"M.Salah (MID, ?) ==> (11.0, 49.278)","Virgil (DEF, ?) ==> (5.5, 25.167)","Alexander-Arnold (DEF, ?) ==> (4.0, 22.333)","Robertson (DEF, ?) ==> (2.0, 11.167)","Gravenberch (MID, ?) ==> (2.5, 11.056)"
BHA,12,"Welbeck (FWD, ?) ==> (3.5, 16.667)","Mitoma (MID, ?) ==> (2.5, 11.333)","Verbruggen (GKP, ?) ==> (2.0, 10.0)","Georginio (MID, ?) ==> (2.0, 9.333)","João Pedro (FWD, ?) ==> (1.5, 8.0)"
NEW,9,"Pope (GKP, ?) ==> (3.0, 13.0)","Isak (FWD, ?) ==> (2.0, 10.0)","Gordon (MID, ?) ==> (2.0, 9.0)","Barnes (MID, ?) ==> (2.0, 9.0)","Joelinton (MID, ?) ==> (2.0, 9.0)"
CHE,8,"Palmer (MID, ?) ==> (6.0, 27.556)","N.Jackson (FWD, ?) ==> (5.5, 25.111)","Madueke (MID, ?) ==> (3.0, 13.333)","Enzo (MID, ?) ==> (2.0, 8.889)","Caicedo (MID, ?) ==> (2.0, 8.444)"
BRE,8,"Mbeumo (MID, ?) ==> (4.0, 18.222)","Damsgaard (MID, ?) ==> (3.0, 13.333)","Flekken (GKP, ?) ==> (3.0, 12.889)","Wissa (FWD, ?) ==> (2.0, 9.778)","Janelt (MID, ?) ==> (2.0, 8.444)"
BOU,6,"Kluivert (MID, ?) ==> (2.5, 11.0)","Tavernier (MID, ?) ==> (2.5, 10.333)","Evanilson (FWD, ?) ==> (2.0, 9.333)","Kerkez (DEF, ?) ==> (2.0, 8.667)","Arrizabalaga (GKP, ?) ==> (1.5, 7.0)"
WOL,5,"Cunha (FWD, ?) ==> (4.0, 17.111)","Strand Larsen (FWD, ?) ==> (3.5, 14.833)","Mario Jr. (MID, ?) ==> (2.0, 8.556)","J.Gomes (MID, ?) ==> (2.0, 8.278)","Toti (DEF, ?) ==> (1.0, 4.556)"
AVL,4,"Watkins (FWD, ?) ==> (3.5, 14.667)","Digne (DEF, ?) ==> (2.0, 8.667)","Rogers (MID, ?) ==> (2.0, 8.444)","Tielemans (MID, ?) ==> (2.0, 8.444)","Martinez (GKP, ?) ==> (2.0, 8.444)"
EVE,0,"Young (DEF, ?) ==> (5.0, 20.0)","McNeil (MID, ?) ==> (2.0, 8.0)","Pickford (GKP, ?) ==> (2.0, 8.0)","A.Doucoure (MID, ?) ==> (2.0, 8.0)","Tarkowski (DEF, ?) ==> (1.5, 6.0)"
FUL,-2,"Iwobi (MID, ?) ==> (4.0, 15.556)","Leno (GKP, ?) ==> (2.5, 9.889)","Smith Rowe (MID, ?) ==> (2.5, 9.667)","Tete (DEF, ?) ==> (2.0, 7.889)","Raúl (FWD, ?) ==> (2.0, 7.778)"
TOT,-2,"Maddison (MID, ?) ==> (3.5, 13.556)","Johnson (MID, ?) ==> (3.5, 13.556)","Pedro Porro (DEF, ?) ==> (2.0, 7.778)","Kulusevski (MID, ?) ==> (2.0, 7.778)","Udogie (DEF, ?) ==> (2.0, 7.778)"
WHU,-7,"L.Paquetá (MID, ?) ==> (2.0, 7.222)","Wan-Bissaka (DEF, ?) ==> (1.5, 5.611)","Souček (MID, ?) ==> (1.5, 5.222)","Summerville (MID, ?) ==> (1.0, 4.0)","Emerson (DEF, ?) ==> (1.0, 3.222)"
CRY,-10,"Henderson (GKP, ?) ==> (2.5, 8.333)","Mateta (FWD, ?) ==> (2.0, 6.889)","Guéhi (DEF, ?) ==> (2.0, 6.889)","I.Sarr (MID, ?) ==> (1.5, 5.444)","Muñoz (DEF, ?) ==> (1.0, 4.0)"
MCI,-13,"Haaland (FWD, ?) ==> (5.0, 15.667)","Gündogan (MID, ?) ==> (2.0, 7.278)","Bernardo (MID, ?) ==> (2.0, 6.556)","Sávio (MID, ?) ==> (1.0, 2.556)","Foden (MID, ?) ==> (1.0, 2.556)"
SOU,-15,"M.Fernandes (MID, ?) ==> (2.0, 6.333)","Downes (MID, ?) ==> (2.0, 6.333)","Aribo (MID, ?) ==> (1.5, 5.167)","Archer (FWD, ?) ==> (1.5, 5.167)","Armstrong (FWD, ?) ==> (1.0, 2.333)"
