team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
ARS,29,"Saka (MID, 6↑) ==> (6.0, 42.889)","Saliba (DEF, ~) ==> (2.0, 16.444)","Gabriel (DEF, 5↑) ==> (2.0, 13.222)","Trossard (MID, 5↑) ==> (2.0, 13.222)","Thomas (MID, 2↓) ==> (2.0, 13.222)"
LIV,27,"M.Salah (MID, 3↑) ==> (10.0, 59.0)","Virgil (DEF, 1↑) ==> (6.0, 33.0)","Luis Díaz (MID, 3↑) ==> (3.0, 21.0)","Gravenberch (MID, ~) ==> (3.0, 18.0)","Robertson (DEF, 3↑) ==> (2.0, 16.0)"
CHE,18,"Palmer (MID, 5↑) ==> (6.0, 38.0)","N.Jackson (FWD, ~) ==> (6.0, 38.0)","Madueke (MID, ~) ==> (3.0, 17.0)","Sánchez (GKP, 4↑) ==> (2.0, 12.0)","Enzo (MID, 5↑) ==> (2.0, 12.0)"
BHA,13,"Welbeck (FWD, 3↓) ==> (5.0, 29.333)","Mitoma (MID, 5↑) ==> (3.0, 17.889)","Verbruggen (GKP, ~) ==> (2.0, 12.889)","Georginio (MID, ~) ==> (2.0, 11.444)","Veltman (DEF, 2↓) ==> (2.0, 11.444)"
TOT,12,"Maddison (MID, 2↓) ==> (4.0, 22.667)","Johnson (MID, 5↑) ==> (4.0, 22.667)","Son (MID, ~) ==> (2.0, 12.667)","Solanke (FWD, 2↓) ==> (2.0, 12.667)","Pedro Porro (DEF, ~) ==> (2.0, 11.333)"
BRE,10,"Mbeumo (MID, 3↓) ==> (5.0, 28.333)","Damsgaard (MID, 2↑) ==> (3.0, 16.111)","Flekken (GKP, ~) ==> (3.0, 16.111)","Wissa (FWD, 4↑) ==> (2.0, 12.222)","Janelt (MID, 1↓) ==> (2.0, 11.111)"
MUN,8,"Amad (MID, 5↑) ==> (3.0, 17.667)","Onana (GKP, 3↑) ==> (3.0, 16.778)","B.Fernandes (MID, 4↑) ==> (3.0, 15.889)","Rashford (MID, 6↑) ==> (2.0, 10.889)","Mazraoui (DEF, ~) ==> (2.0, 10.889)"
WOL,6,"Cunha (FWD, 3↓) ==> (6.0, 32.667)","Strand Larsen (FWD, 5↑) ==> (5.0, 27.0)","Mario Jr. (MID, ~) ==> (2.0, 10.667)","J.Gomes (MID, ~) ==> (2.0, 10.667)","Bellegarde (MID, 3↑) ==> (2.0, 10.667)"
WHU,5,"Bowen (MID, 1↓) ==> (3.0, 15.556)","Wan-Bissaka (DEF, 4↑) ==> (2.0, 10.556)","L.Paquetá (MID, 3↑) ==> (2.0, 10.556)","Souček (MID, ~) ==> (1.0, 5.556)","Emerson (DEF, 3↑) ==> (1.0, 5.556)"
BOU,4,"Evanilson (FWD, 5↑) ==> (2.0, 10.889)","Kluivert (MID, 7↑) ==> (2.0, 10.444)","Semenyo (MID, 2↓) ==> (2.0, 10.444)","Tavernier (MID, 3↑) ==> (2.0, 10.444)","Cook (MID, 2↓) ==> (2.0, 10.444)"
NFO,3,"Wood (FWD, 3↑) ==> (7.0, 35.667)","Sels (GKP, 3↑) ==> (3.0, 15.667)","Hudson-Odoi (MID, ~) ==> (3.0, 15.333)","Milenković (DEF, 3↑) ==> (2.0, 10.667)","Murillo (DEF, 4↑) ==> (2.0, 10.333)"
MCI,-3,"Haaland (FWD, 2↓) ==> (5.0, 24.0)","Bernardo (MID, ~) ==> (2.0, 9.667)","Ederson M. (GKP, 1↓) ==> (2.0, 9.667)","Gündogan (MID, ~) ==> (2.0, 9.667)","Sávio (MID, ~) ==> (1.0, 4.667)"
NEW,-4,"Pope (GKP, ~) ==> (3.0, 14.556)","Barnes (MID, ~) ==> (2.0, 9.556)","Gordon (MID, 3↑) ==> (2.0, 9.556)","Joelinton (MID, ~) ==> (2.0, 9.556)","Hall (DEF, ~) ==> (2.0, 9.556)"
FUL,-7,"Iwobi (MID, 2↑) ==> (3.0, 14.222)","Leno (GKP, ~) ==> (3.0, 14.222)","Smith Rowe (MID, ~) ==> (3.0, 13.444)","Tete (DEF, ~) ==> (2.0, 10.0)","Bassey (DEF, ~) ==> (2.0, 10.0)"
AVL,-9,"Watkins (FWD, ~) ==> (2.0, 10.0)","Rogers (MID, ~) ==> (2.0, 9.0)","Tielemans (MID, ~) ==> (2.0, 9.0)","Martinez (GKP, ~) ==> (2.0, 9.0)","McGinn (MID, ~) ==> (2.0, 9.0)"
IPS,-17,"Morsy (MID, ~) ==> (2.0, 10.0)","Delap (FWD, ~) ==> (2.0, 8.111)","Szmodics (MID, ~) ==> (2.0, 8.111)","Davis (DEF, ~) ==> (2.0, 8.111)","Muric (GKP, 1↑) ==> (2.0, 8.111)"
CRY,-19,"Henderson (GKP, ~) ==> (2.0, 7.889)","Mateta (FWD, ~) ==> (2.0, 7.889)","Guéhi (DEF, 1↑) ==> (2.0, 7.889)","I.Sarr (MID, 1↑) ==> (1.0, 5.0)","Lacroix (DEF, 1↑) ==> (1.0, 2.889)"
EVE,-23,"Young (DEF, 4↓) ==> (5.0, 17.333)","Pickford (GKP, 2↓) ==> (2.0, 7.444)","A.Doucoure (MID, ~) ==> (2.0, 7.444)","Tarkowski (DEF, 1↓) ==> (1.0, 2.444)","Mykolenko (DEF, 2↓) ==> (1.0, 2.444)"
LEI,-26,"Ndidi (MID, ~) ==> (2.0, 10.0)","Winks (MID, 2↓) ==> (2.0, 10.0)","J.Ayew (MID, ~) ==> (2.0, 7.111)","Hermansen (GKP, 1↓) ==> (2.0, 7.111)","Vardy (FWD, 3↑) ==> (2.0, 4.222)"
SOU,-27,"M.Fernandes (MID, ~) ==> (2.0, 7.0)","Downes (MID, 4↑) ==> (2.0, 7.0)","Archer (FWD, 1↑) ==> (1.0, 2.0)","Armstrong (FWD, 3↑) ==> (1.0, 2.0)","Sugawara (DEF, 1↑) ==> (1.0, 2.0)"
