att_rank,def_rank,(def-att)_rank,team,att_xPts,def_xPts,(att-def)_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
15,3,-12,NFO,22.154649647018807,19.48907458221123,2.6655750648075767,-14,11,-25,5,-5.0,0,3
20,8,-12,CRY,16.461746938942454,15.806560890192001,0.655186048750453,-18,6,-24,5,-4.8,0,3
18,6,-12,EVE,18.837163339038035,18.89616623461614,-0.059002895578103676,-20,-2,-18,5,-3.6,0,3
3,4,1,ARS,33.486872580097256,18.42950708730779,15.057365492789465,13,27,-14,5,-2.8,0,3
12,14,2,MCI,20.448647716633406,10.178702484710318,10.269945231923089,-12,2,-14,5,-2.8,0,3
8,2,-6,MUN,31.74479139317459,19.954096326730948,11.790695066443643,9,19,-10,5,-2.0,1,2
1,1,0,LIV,34.81311050134652,24.699452319230875,10.113658182115646,22,26,-4,5,-0.8,1,2
13,7,-6,WHU,22.937157699519297,19.410366457982175,3.526791241537122,8,10,-2,5,-0.4,1,2
14,10,-4,NEW,24.049178478846315,13.04099146490316,11.008187013943155,0,2,-2,5,-0.4,1,2
19,18,-1,SOU,17.2562814102887,10.360115175672561,6.896166234616139,-24,-24,0,5,0.0,1,2
17,17,0,IPS,21.76393202250021,10.365027384038456,11.398904638461755,-16,-18,2,5,0.4,2,1
9,15,6,BOU,29.19507651259663,10.012026418845755,19.18305009375087,-4,-8,4,5,0.8,2,1
4,5,1,TOT,32.03223985163467,17.52786404500042,14.50437580663425,15,10,5,5,1.0,2,1
11,16,5,AVL,22.70820393249937,9.755745008557053,12.952458923942316,0,-6,6,5,1.2,2,1
7,12,5,BHA,29.44317090894218,12.918581669519018,16.52458923942316,11,3,8,5,1.6,2,1
10,11,1,FUL,26.903280445095998,14.43114449009642,12.472135954999578,-2,-12,10,5,2.0,3,0
16,20,4,LEI,21.806560890192003,6.596183153172352,15.210377737019652,-14,-28,14,5,2.8,3,0
2,9,7,CHE,33.70108972201951,13.76393202250021,19.9371576995193,23,4,19,5,3.8,3,0
5,13,8,BRE,31.702727124808142,12.60600756990414,19.096719554904002,11,-9,20,5,4.0,3,0
6,19,13,WOL,30.25080460259747,12.736604379231439,17.514200223366032,12,-13,25,5,5.0,3,0
