team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
MCI,7.5,2,1,"Kovačić (MID, 5↓) ==> (5.52254, 1.89058)","Lewis (DEF, ~) ==> (2.74624, 1.89058)","Doku (MID, ~) ==> (3.4748, 1.82979)"
TOT,6.5,1,2,"Maddison (MID, 4↓) ==> (5.55526, 4.03799)","Pedro Porro (DEF, 1↓) ==> (2.98497, 1.82168)","Vicario (GKP, 2↓) ==> (2.95225, 1.82168)"
BHA,5.5,3,0,"Welbeck (FWD, 3↑) ==> (6.3015, 6.37588)","Mitoma (MID, 3↓) ==> (3.17595, 3.64336)","Georginio (MID, ~) ==> (6.42439, 2.36221)"
BRE,3.25,3,0,"Mbeumo (MID, 4↓) ==> (6.44474, 7.08814)","Damsgaard (MID, ~) ==> (4.99734, 2.2082)","Lewis-Potter (MID, 1↓) ==> (2.55526, 1.78115)"
AVL,2.5,1,2,"Watkins (FWD, 1↑) ==> (6.66578, 4.83941)","Digne (DEF, ~) ==> (3.80902, 2.6231)","Martinez (GKP, 3↑) ==> (5.2511, 2.17578)"
NFO,2.5,0,3,"Milenković (DEF, 3↑) ==> (4.01503, 3.15147)","Sels (GKP, 5↑) ==> (5.06277, 2.65957)","Aina (DEF, 4↑) ==> (3.49249, 1.80547)"
LIV,2.25,2,1,"M.Salah (MID, 4↑) ==> (8.68347, 8.70313)","Alexander-Arnold (DEF, 4↓) ==> (4.31919, 5.22188)","Diogo J. (MID, 4↓) ==> (5.17329, 3.9853)"
CHE,1.75,3,0,"Palmer (MID, 5↓) ==> (10.09283, 5.23809)","N.Jackson (FWD, 2↓) ==> (4.96994, 4.81104)","Madueke (MID, 3↓) ==> (5.65075, 2.61094)"
MUN,1.0,0,3,"Onana (GKP, 3↓) ==> (4.2237, 3.94072)","Dalot (DEF, 4↓) ==> (3.16093, 3.08662)","Mazraoui (DEF, 1↓) ==> (1.70116, 2.2001)"
FUL,0.25,1,2,"Raúl (FWD, ~) ==> (6.18832, 4.69756)","Leno (GKP, 2↑) ==> (3.66578, 2.57041)","Robinson (DEF, 2↓) ==> (3.09549, 1.71631)"
EVE,-0.25,1,2,"McNeil (MID, 1↓) ==> (6.98231, 3.4002)","Young (DEF, ~) ==> (4.50485, 2.13525)","Pickford (GKP, 1↓) ==> (6.21838, 1.7082)"
WHU,-1.0,0,3,"Areola (GKP, 2↓) ==> (1.33422, 1.28115)","Kilman (DEF, ~) ==> (1.47746, 0.8541)","Wan-Bissaka (DEF, 1↓) ==> (1.25376, 0.8541)"
NEW,-1.75,2,1,"Barnes (MID, 3↓) ==> (3.09815, 3.34346)","Pope (GKP, ~) ==> (4.09549, 2.56231)","Gordon (MID, 2↓) ==> (3.95225, 1.69605)"
ARS,-2.25,2,1,"Saka (MID, 5↓) ==> (6.49249, 5.04356)","Havertz (FWD, 4↓) ==> (5.3015, 3.35156)","Gabriel (DEF, 3↓) ==> (2.73388, 3.31509)"
BOU,-2.5,2,1,"Semenyo (MID, ~) ==> (3.84173, 2.9083)","Zabarnyi (DEF, 4↑) ==> (2.91954, 1.7082)","Cook (MID, ~) ==> (4.37931, 1.66768)"
LEI,-2.5,0,3,"Hermansen (GKP, 2↓) ==> (3.82405, 2.5461)","Justin (DEF, 5↓) ==> (6.17063, 1.27305)","Faes (DEF, 2↓) ==> (2.34925, 0.846)"
IPS,-3.25,3,0,"Hutchinson (MID, ~) ==> (2.91954, 1.7082)","Phillips (MID, ~) ==> (1.71353, 1.7082)","Morsy (MID, 1↓) ==> (1.98497, 1.69199)"
WOL,-5.5,3,0,"Strand Larsen (FWD, 4↑) ==> (5.12555, 2.89209)","Bellegarde (MID, 1↓) ==> (2.23873, 2.03799)","Mario Jr. (MID, ~) ==> (2.47746, 1.7082)"
CRY,-6.5,0,3,"Henderson (GKP, 2↓) ==> (2.58798, 1.98936)","Guéhi (DEF, 3↓) ==> (3.7763, 1.61094)","Mitchell (DEF, 1↓) ==> (1.68347, 1.23252)"
SOU,-7.5,1,2,"Downes (MID, ~) ==> (1.65075, 1.7082)","Ramsdale (GKP, 1↓) ==> (1.65075, 1.58662)","Sugawara (DEF, 4↑) ==> (2.14324, 1.22036)"
