id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts/fixture,avg_pts/fixture,MeanAbsDev(pts/fixture),med_pts/fixture,MedAbsDev(pts/fixture),std_pts/fixture_played,avg_pts/fixture_played,MeanAbsDev(pts/fixture_played),med_pts/fixture_played,MedAbsDev(pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw9Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
248,Bernd,Leno,GKP,FUL,2↑,"Leno (GKP, 2↑)",25,8,0,1.4142135623730951,4.0,1.3333333333333333,5.0,0.0,1.165922381636102,3.125,0.9375,3.0,1.0,1.165922381636102,3.125,0.9375,3.0,1.0,3.66577974016,1,2.57851679139,0,2.56230589875,0,0.0,2.57041134507,1,3,3,0.42958865492999987,~
255,Antonee,Robinson,DEF,FUL,2↓,"Robinson (DEF, 2↓)",26,8,0,2.8284271247461903,3.0,2.6666666666666665,1.0,0.0,2.331844763272204,3.25,2.0625,2.0,1.0,2.331844763272204,3.25,2.0625,2.0,1.0,3.09549150281,1,1.72441482514,0,1.7082039325,0,0.0,1.71630937882,1,2,2,0.2836906211800001,~
239,Adama,Traoré,MID,FUL,~,"Adama (MID, ~)",30,8,0,0.4714045207910317,2.333333333333333,0.4444444444444445,2.0,0.0,2.222048604328897,3.75,1.6875,3.0,1.0,2.222048604328897,3.75,1.6875,3.0,1.0,2.87445184927,1,2.57851679139,0,0.0,-1,2.54609500611,2.56230589875,1,3,3,0.43769410124999997,~
247,Alex,Iwobi,MID,FUL,2↓,"Iwobi (MID, 2↓)",29,8,0,0.4714045207910317,2.333333333333333,0.4444444444444445,2.0,0.0,2.2878756522153907,3.625,1.9375,2.5,0.5,2.2878756522153907,3.625,1.9375,2.5,0.5,2.82670609786,1,2.14336036194,0,0.0,-1,2.12714946931,2.13525491562,1,11,11,8.86474508438,5↑
251,Rodrigo,Muniz Carvalho,FWD,FUL,3↓,"Muniz (FWD, 3↓)",18,7,1,2.6246692913372702,2.333333333333333,2.4444444444444446,1.0,1.0,1.7853571071357126,2.25,1.375,2.0,1.0,1.6781914463529617,2.571428571428572,1.3877551020408163,2.0,1.0,2.3015028324,1,1.72441482514,0,0.0,-1,1.69199303986,1.7082039325,1,1,1,-0.7082039325,~
257,Kenny,Tete,DEF,FUL,1↓,"Tete (DEF, 1↓)",16,8,0,1.8856180831641267,2.333333333333333,1.777777777777778,1.0,0.0,1.224744871391589,2.0,0.75,2.0,0.5,1.224744871391589,2.0,0.75,2.0,0.5,2.20601132958,1,1.71630937882,0,1.7082039325,0,0.0,1.71225665566,1,2,2,0.28774334433999993,~
191,Joachim,Andersen,DEF,FUL,4↓,"Andersen (DEF, 4↓)",11,6,2,4.189935029992179,2.333333333333333,3.777777777777778,1.0,3.0,2.7810744326608736,1.375,1.96875,0.5,1.0,3.0776975521032317,1.8333333333333333,2.1666666666666665,1.5,1.0,1.96728257255,1,0.44326187576,0,0.42705098312,0,0.0,0.43515642944,1,0,0,-0.43515642944,~
241,Calvin,Bassey,DEF,FUL,2↓,"Bassey (DEF, 2↓)",15,8,0,2.8284271247461903,2.0,2.6666666666666665,0.0,0.0,1.7633419974582356,1.875,1.15625,2.0,0.5,1.7633419974582356,1.875,1.15625,2.0,0.5,1.95225424859,1,1.71630937882,0,1.7082039325,0,0.0,1.71225665566,1,2,2,0.28774334433999993,~
10,Reiss,Nelson,MID,FUL,3↓,"Nelson (MID, 3↓)",14,6,2,1.4142135623730951,2.0,1.3333333333333333,1.0,0.0,2.331844763272204,1.75,1.875,1.0,1.0,2.42670329642684,2.333333333333333,2.111111111111111,1.0,0.5,1.90450849719,1,0.87031285889,0,0.0,-1,0.83789107361,0.85410196625,1,1,1,0.14589803375,~
19,Emile,Smith Rowe,MID,FUL,3↓,"Smith Rowe (MID, 3↓)",35,8,0,0.9428090415820634,1.6666666666666667,0.888888888888889,1.0,0.0,3.237958461747154,4.375,2.96875,3.0,2.0,3.237958461747154,4.375,2.96875,3.0,2.0,2.70115794714,1,2.59472768403,0,0.0,-1,2.52988411347,2.56230589875,1,6,6,3.43769410125,3↑
622,Sander,Berge,MID,FUL,~,"Berge (MID, ~)",8,6,2,0.4714045207910317,1.6666666666666667,0.4444444444444444,2.0,0.0,0.7071067811865476,1.0,0.5,1.0,0.5,0.4714045207910317,1.3333333333333333,0.4444444444444444,1.0,0.0,1.41202265917,1,0.86220741257,0,0.0,-1,0.84599651993,0.85410196625,1,2,2,1.14589803375,1↑
249,Saša,Lukić,MID,FUL,1↓,"Lukić (MID, 1↓)",11,7,1,0.9428090415820634,1.3333333333333333,0.888888888888889,2.0,0.0,0.8569568250501305,1.375,0.78125,2.0,0.0,0.7284313590846836,1.5714285714285714,0.6122448979591838,2.0,0.0,1.3492485838,1,1.7082039325,0,0.0,-1,1.7082039325,1.7082039325,1,0,0,-1.7082039325,2↓
243,Tom,Cairney,MID,FUL,~,"Cairney (MID, ~)",4,6,2,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.60300566479,1,0.43515642944,0,0.0,-1,0.41894553681,0.42705098312,1,0,0,-0.42705098312,~
259,Harry,Wilson,MID,FUL,~,"Wilson (MID, ~)",3,4,4,0.4714045207910317,0.3333333333333333,0.4444444444444445,0.0,0.0,0.4841229182759271,0.375,0.46875,0.0,0.0,0.4330127018922193,0.75,0.375,1.0,0.0,0.3492485838,1,0.0,0,0.0,-1,0.0,0.0,1,1,1,1.0,~
244,Timothy,Castagne,DEF,FUL,~,"Castagne (DEF, ~)",1,1,7,0.4714045207910317,0.3333333333333333,0.4444444444444444,0.0,0.0,0.3307189138830738,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25375708099,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
