team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
MCI,7,"Kovačić (MID, 5↓) ==> (5.523, 1.878)","Doku (MID, ~) ==> (3.475, 1.822)","Bernardo (MID, 3↓) ==> (3.349, 1.822)","Grealish (MID, 4↓) ==> (2.776, 1.338)","Foden (MID, 2↑) ==> (1.872, 0.968)"
BHA,7,"Georginio (MID, ~) ==> (6.424, 2.362)","Welbeck (FWD, 3↑) ==> (6.302, 6.376)","Baleba (MID, 2↓) ==> (4.648, 1.822)","Mitoma (MID, 3↓) ==> (3.176, 3.643)","Minteh (MID, 3↓) ==> (2.651, 1.878)"
BRE,6,"Mbeumo (MID, 4↓) ==> (6.445, 7.173)","Damsgaard (MID, ~) ==> (4.997, 2.233)","Carvalho (MID, 3↓) ==> (3.585, 0.854)","Janelt (MID, ~) ==> (2.555, 1.708)","Lewis-Potter (MID, 1↓) ==> (2.555, 1.805)"
TOT,4,"Johnson (MID, 5↓) ==> (5.935, 3.087)","Kulusevski (MID, 2↑) ==> (5.902, 1.773)","Maddison (MID, 4↓) ==> (5.555, 3.973)","Solanke (FWD, 3↓) ==> (3.776, 1.838)","Bissouma (MID, 5↑) ==> (3.269, 0.459)"
LIV,3,"M.Salah (MID, 4↑) ==> (8.683, 8.736)","Diogo J. (MID, 4↓) ==> (5.173, 4.014)","Jones (MID, 6↑) ==> (4.409, 0.903)","Gravenberch (MID, ~) ==> (2.603, 2.562)","Gakpo (FWD, ~) ==> (1.967, 0.854)"
AVL,2,"Watkins (FWD, 1↑) ==> (6.666, 4.811)","Rogers (MID, ~) ==> (4.92, 2.151)","Tielemans (MID, 4↑) ==> (4.111, 2.168)","Bailey (MID, 2↓) ==> (2.523, 0.87)","Ramsey (MID, 3↑) ==> (2.302, 1.724)"
CHE,1,"Palmer (MID, 5↓) ==> (10.093, 5.181)","Madueke (MID, 3↓) ==> (5.651, 2.587)","N.Jackson (FWD, 2↓) ==> (4.97, 4.754)","Sancho (MID, 3↓) ==> (3.379, 1.305)","Caicedo (MID, 2↑) ==> (2.698, 1.724)"
EVE,0,"McNeil (MID, 1↓) ==> (6.982, 3.416)","Ndiaye (FWD, 4↑) ==> (4.173, 1.708)","Harrison (MID, ~) ==> (2.92, 1.708)","Calvert-Lewin (FWD, ~) ==> (2.415, 1.708)","A.Doucoure (MID, ~) ==> (2.317, 1.708)"
NEW,0,"Gordon (MID, 2↓) ==> (3.952, 1.708)","Barnes (MID, 3↓) ==> (3.098, 3.416)","J.Murphy (MID, 1↓) ==> (2.302, 1.708)","Bruno G. (MID, ~) ==> (2.239, 1.708)","Joelinton (MID, ~) ==> (2.239, 1.281)"
MUN,0,"Garnacho (MID, 5↑) ==> (4.523, 2.135)","Rashford (MID, 4↑) ==> (3.302, 1.708)","Højlund (FWD, 4↑) ==> (2.839, 0.427)","B.Fernandes (MID, 3↑) ==> (2.239, 2.562)","Eriksen (MID, ~) ==> (1.555, 1.281)"
