avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
1,1,LIV,1.25,1.0,1.87281483987517,6.75
4,2,NFO,5.25,3.0,0.8106018750865019,4.75
11,6,AVL,8.25,4.5,-0.28549253537843716,4.75
9,5,FUL,7.25,4.0,0.14015789131026463,4.25
2,1,ARS,2.75,1.5,1.2556915928308485,2.5
8,4,MCI,7.25,3.75,0.2558581424835895,2.5
7,4,BOU,9.5,4.75,0.4429892503115109,2.0
12,6,BRE,15.25,8.0,-0.29901820863068085,1.5
3,2,NEW,8.25,4.5,1.0269883321546132,1.0
5,3,CHE,8.5,4.5,0.6635625007194068,1.0
6,3,TOT,10.5,5.5,0.5608024035022053,-1.0
13,7,CRY,10.25,5.5,-0.34141989466214784,-1.0
20,10,SOU,18.75,9.5,-1.6327183258420646,-1.5
16,8,EVE,13.25,6.75,-0.5482984853696015,-2.0
10,5,BHA,7.5,4.0,0.016992927591177154,-2.5
17,9,WHU,12.25,6.25,-0.6458201943285744,-2.5
18,9,IPS,16.25,8.25,-0.9354785535383859,-4.25
14,7,WOL,14.5,7.75,-0.4232004648157467,-4.75
19,10,LEI,18.0,9.25,-1.4197056772660477,-4.75
15,8,MUN,15.25,7.75,-0.5153074160358762,-6.75
