team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
AVL,8,"McGinn (MID, ?) ==> (2.0, 2.889)","Rogers (MID, ?) ==> (2.0, 2.0)","Tielemans (MID, ?) ==> (2.0, 2.0)","Duran (FWD, ?) ==> (1.0, 1.889)","Kamara (MID, ?) ==> (0.0, 1.889)"
LIV,6,"M.Salah (MID, ?) ==> (11.0, 14.667)","Luis Díaz (MID, ?) ==> (3.0, 2.667)","Mac Allister (MID, ?) ==> (2.5, 2.667)","Jones (MID, ?) ==> (1.5, 1.667)","Gakpo (FWD, ?) ==> (1.0, 1.667)"
ARS,3,"Martinelli (MID, ?) ==> (3.0, 2.333)","Ødegaard (MID, ?) ==> (2.0, 2.333)","Havertz (FWD, ?) ==> (2.0, 2.0)","Rice (MID, ?) ==> (2.0, 2.0)","G.Jesus (FWD, ?) ==> (1.0, 1.333)"
NFO,3,"Wood (FWD, ?) ==> (7.0, 9.0)","Hudson-Odoi (MID, ?) ==> (3.0, 2.333)","Anderson (MID, ?) ==> (3.0, 2.333)","Gibbs-White (MID, ?) ==> (2.0, 2.333)","Elanga (MID, ?) ==> (2.0, 2.333)"
LEI,3,"Vardy (FWD, ?) ==> (2.0, 2.333)","Mavididi (MID, ?) ==> (1.0, 2.333)","J.Ayew (MID, ?) ==> (2.0, 1.333)","El Khannouss (MID, ?) ==> (1.0, 1.333)","De Cordova-Reid (MID, ?) ==> (1.0, 1.333)"
TOT,2,"Son (MID, ?) ==> (2.0, 2.222)","Kulusevski (MID, ?) ==> (2.0, 2.0)","Solanke (FWD, ?) ==> (2.0, 2.0)","P.M.Sarr (MID, ?) ==> (1.0, 1.222)","Gray (MID, ?) ==> (1.0, 1.222)"
MCI,2,"Foden (MID, ?) ==> (2.0, 2.222)","Sávio (MID, ?) ==> (1.0, 2.222)","Haaland (FWD, ?) ==> (5.0, 2.0)","Bernardo (MID, ?) ==> (2.0, 2.0)","De Bruyne (MID, ?) ==> (1.0, 1.222)"
FUL,2,"Raúl (FWD, ?) ==> (2.0, 2.222)","Andreas (MID, ?) ==> (2.0, 2.222)","Lukić (MID, ?) ==> (1.0, 2.222)","Iwobi (MID, ?) ==> (3.0, 2.0)","Wilson (MID, ?) ==> (1.0, 1.222)"
NEW,2,"Isak (FWD, ?) ==> (6.0, 6.889)","Gordon (MID, ?) ==> (3.0, 2.222)","Joelinton (MID, ?) ==> (2.0, 2.0)","Bruno G. (MID, ?) ==> (2.0, 2.0)","J.Murphy (MID, ?) ==> (2.0, 1.222)"
BRE,1,"Damsgaard (MID, ?) ==> (3.0, 2.111)","Wissa (FWD, ?) ==> (2.0, 2.111)","Nørgaard (MID, ?) ==> (2.0, 2.111)","Mbeumo (MID, ?) ==> (5.0, 2.0)","Lewis-Potter (MID, ?) ==> (2.0, 2.0)"
BHA,-1,"Mitoma (MID, ?) ==> (2.0, 1.889)","João Pedro (FWD, ?) ==> (2.0, 1.889)","Georginio (MID, ?) ==> (2.0, 1.889)","Baleba (MID, ?) ==> (2.0, 1.889)","Ayari (MID, ?) ==> (1.0, 1.889)"
