def_rank,def_tier,team,def_avg_xPts,def_med_xPts,avg_GA/match,med_GA/match,def_avg_potential,def_med_potential,defAdv_nxtGWs
2,1,LIV,18.3680873048256,12.826237921249266,0.9444444444444444,1.0,1.086095118379346,0.37752882060617354,7
8,4,BOU,17.976369139645353,12.145898033750315,1.2105263157894737,1.0,0.6346644292766617,0.31542785789956146,6
1,1,CRY,19.78512313426333,18.145898033750314,1.4210526315789473,1.0,0.4689642909255206,0.8631037815091904,5
7,4,FUL,14.78512313426333,12.381966011250105,1.3157894736842106,1.0,0.18167311145526838,0.33697598250085337,5
3,2,NFO,25.436211227198214,22.639320225002102,1.0,1.0,1.638012399176135,1.273260306303866,2
5,3,EVE,19.53109963329882,17.31966011250105,1.3333333333333333,1.0,0.5831594509726726,0.7876853454008492,2
11,6,MCI,14.171011768157696,10.23606797749979,1.368421052631579,1.0,0.04388140369039681,0.14109986789973408,2
4,2,ARS,19.27007895622357,15.0,0.8947368421052632,1.0,1.2453322093952996,0.5759483463045565,1
15,8,CHE,13.77230326730267,9.0,1.2105263157894737,1.0,0.25472267429777884,0.028272422694927468,1
18,9,BRE,10.92360679774998,10.0,1.8421052631578947,2.0,-0.9902257366356557,-1.271596867380053,1
16,8,SOU,13.98325751039508,11.0,2.0526315789473686,2.0,-1.042876291848526,-1.1803175467803582,-1
6,3,NEW,21.818177238448317,19.639320225002102,1.105263157894737,1.0,1.1464501882403182,0.9994223444971417,-2
10,5,WHU,14.741258036684357,11.381966011250105,1.8421052631578947,1.0,-0.6452061399720881,0.24569666189733874,-2
12,6,IPS,12.167089145513437,11.145898033750315,1.736842105263158,1.0,-0.7132632358733008,0.22414853729604683,-2
14,7,TOT,12.21042824357847,8.47213595499958,1.4736842105263157,1.0,-0.29788899682386955,-0.01991064870218373,-2
9,5,BHA,14.851662217658157,11.76393202250021,1.4736842105263157,1.0,-0.05918791508642375,0.28056225990035993,-3
17,9,WOL,16.787132007830003,13.437694101250946,2.210526315789474,2.0,-1.0363510849811253,-0.9578064853834196,-3
19,10,AVL,12.271561830276303,9.0,1.631578947368421,2.0,-0.5392385442372066,-1.3628761879835678,-3
13,7,MUN,13.043339098065033,8.47213595499958,1.368421052631579,1.0,-0.058031826579544143,-0.01991064870218373,-6
20,10,LEI,7.22324811053913,6.0,2.210526315789474,2.0,-1.9006855037754775,-1.6367141497902922,-8
