team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
LIV,6.75,1,2,"M.Salah (MID, ?) ==> (11.0, 14.88889)","A.Becker (GKP, ?) ==> (1.0, 3.07407)","Alexander-Arnold (DEF, ?) ==> (3.0, 2.33333)"
NFO,4.75,2,1,"Wood (FWD, ?) ==> (7.0, 10.33333)","Sels (GKP, ?) ==> (3.0, 2.58333)","Hudson-Odoi (MID, ?) ==> (3.0, 2.55556)"
AVL,4.75,3,0,"McGinn (MID, ?) ==> (2.0, 2.83333)","Rogers (MID, ?) ==> (2.0, 2.0)","Tielemans (MID, ?) ==> (2.0, 2.0)"
FUL,4.25,1,2,"Leno (GKP, ?) ==> (3.0, 2.68519)","Raúl (FWD, ?) ==> (2.0, 2.38889)","Robinson (DEF, ?) ==> (2.0, 1.5)"
ARS,2.5,2,1,"Martinelli (MID, ?) ==> (3.0, 2.33333)","Ødegaard (MID, ?) ==> (2.0, 2.33333)","Raya (GKP, ?) ==> (3.0, 2.12963)"
MCI,2.5,2,1,"Foden (MID, ?) ==> (2.0, 2.27778)","Sávio (MID, ?) ==> (1.0, 2.27778)","Gvardiol (DEF, ?) ==> (2.0, 1.36111)"
BOU,2.0,0,3,"Smith (DEF, ?) ==> (1.0, 2.44444)","Arrizabalaga (GKP, ?) ==> (2.0, 2.24074)","Huijsen (DEF, ?) ==> (1.0, 1.44444)"
BRE,1.5,2,1,"Flekken (GKP, ?) ==> (3.0, 2.69444)","Damsgaard (MID, ?) ==> (3.0, 2.16667)","Wissa (FWD, ?) ==> (2.0, 2.16667)"
NEW,1.0,3,0,"Isak (FWD, ?) ==> (6.0, 6.88889)","Gordon (MID, ?) ==> (3.0, 2.22222)","Joelinton (MID, ?) ==> (2.0, 2.0)"
CHE,1.0,0,3,"Sánchez (GKP, ?) ==> (2.0, 2.4537)","Gusto (DEF, ?) ==> (1.0, 1.63889)","Colwill (DEF, ?) ==> (2.0, 1.36111)"
TOT,-1.0,3,0,"Son (MID, ?) ==> (2.0, 2.0)","Kulusevski (MID, ?) ==> (2.0, 2.0)","Solanke (FWD, ?) ==> (2.0, 2.0)"
CRY,-1.0,0,3,"Henderson (GKP, ?) ==> (2.0, 2.49074)","Chalobah (DEF, ?) ==> (1.0, 2.05556)","Mitchell (DEF, ?) ==> (2.0, 1.47222)"
SOU,-1.5,1,2,"Ramsdale (GKP, ?) ==> (2.0, 2.13889)","M.Fernandes (MID, ?) ==> (2.0, 2.0)","Walker-Peters (DEF, ?) ==> (1.0, 1.58333)"
EVE,-2.0,0,3,"Pickford (GKP, ?) ==> (2.0, 2.5)","Young (DEF, ?) ==> (5.0, 2.0)","Mykolenko (DEF, ?) ==> (1.5, 1.75)"
BHA,-2.5,3,0,"Mitoma (MID, ?) ==> (2.0, 1.77778)","João Pedro (FWD, ?) ==> (2.0, 1.77778)","Georginio (MID, ?) ==> (2.0, 1.77778)"
WHU,-2.5,1,2,"Bowen (MID, ?) ==> (3.0, 2.0)","Mavropanos (DEF, ?) ==> (1.0, 2.0)","Wan-Bissaka (DEF, ?) ==> (2.0, 1.63889)"
IPS,-4.25,0,3,"Muric (GKP, ?) ==> (2.0, 2.76852)","Davis (DEF, ?) ==> (2.0, 1.69444)","O'Shea (DEF, ?) ==> (1.0, 1.69444)"
WOL,-4.75,2,1,"José Sá (GKP, ?) ==> (0.0, 2.2963)","Cunha (FWD, ?) ==> (6.0, 2.0)","Strand Larsen (FWD, ?) ==> (2.0, 1.5)"
LEI,-4.75,3,0,"Vardy (FWD, ?) ==> (2.0, 1.77778)","Mavididi (MID, ?) ==> (1.0, 1.77778)","J.Ayew (MID, ?) ==> (2.0, 0.77778)"
MUN,-6.75,1,2,"Onana (GKP, ?) ==> (2.0, 2.28704)","B.Fernandes (MID, ?) ==> (3.0, 2.0)","Mazraoui (DEF, ?) ==> (1.0, 1.86111)"
