att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
20,5,-15,EVE,17.427050983124843,17.31966011250105,0.10739087062379227,-6,2,-8,1,-8.0,0,3
10,8,-2,BOU,26.0,12.145898033750315,13.854101966249685,-2,6,-8,1,-8.0,0,3
18,1,-17,CRY,16.909830056250527,18.145898033750314,-1.2360679774997863,-1,5,-6,1,-6.0,0,3
11,15,4,CHE,23.70820393249937,9.0,14.70820393249937,-5,1,-6,1,-6.0,0,3
17,12,-5,IPS,19.381966011250107,11.145898033750315,8.236067977499792,-5,-2,-3,1,-3.0,0,3
8,7,-1,FUL,27.090169943749473,12.381966011250105,14.708203932499368,2,5,-3,1,-3.0,1,2
16,13,-3,MUN,18.18033988749895,8.47213595499958,9.70820393249937,-7,-6,-1,1,-1.0,1,2
1,2,1,LIV,40.39260912937621,12.826237921249266,27.566371208126945,6,7,-1,1,-1.0,1,2
15,10,-5,WHU,22.381966011250107,11.381966011250105,11.000000000000002,-2,-2,0,1,0.0,1,2
19,16,-3,SOU,13.23606797749979,11.0,2.23606797749979,-1,-1,0,1,0.0,1,2
6,11,5,MCI,23.0,10.23606797749979,12.76393202250021,2,2,0,1,0.0,2,1
13,18,5,BRE,23.618033988749893,10.0,13.618033988749893,1,1,0,1,0.0,2,1
12,3,-9,NFO,26.909830056250527,22.639320225002102,4.270509831248425,3,2,1,1,1.0,2,1
7,17,10,WOL,22.618033988749893,13.437694101250946,9.180339887498947,-2,-3,1,1,1.0,2,1
3,4,1,ARS,29.0,15.0,14.0,3,1,2,1,2.0,2,1
5,9,4,BHA,24.47213595499958,11.76393202250021,12.70820393249937,-1,-3,2,1,2.0,3,0
9,6,-3,NEW,34.257354213751995,19.639320225002102,14.618033988749893,2,-2,4,1,4.0,3,0
2,14,12,TOT,33.0,8.47213595499958,24.52786404500042,2,-2,4,1,4.0,3,0
14,20,6,LEI,19.18033988749895,6.0,13.180339887498949,3,-8,11,1,11.0,3,0
4,19,15,AVL,25.94427190999916,9.0,16.94427190999916,8,-3,11,1,11.0,3,0
